dataset,variant,seed,domain,f1
p22,corrected_unweighted,0,L6a/b,0.7167270844122215
p22,corrected_unweighted,0,VL,0.07003891050583658
p22,corrected_unweighted,0,ccg/aco,0.7900355871886121
p22,corrected_unweighted,0,others,0.561993769470405
p22,corrected_unweighted,1,ACB,0.6072644721906925
p22,corrected_unweighted,1,CP,0.8308172826652784
p22,corrected_unweighted,1,L1-L3,0.7013574660633484
p22,corrected_unweighted,1,L4,0.45233265720081134
p22,corrected_unweighted,1,L5,0.35745837580699963
p22,corrected_unweighted,1,L6a/b,0.6490835940992401
p22,corrected_unweighted,1,VL,0.0
p22,corrected_unweighted,1,ccg/aco,0.791784702549575
p22,corrected_unweighted,1,others,0.366891891891892
p22,corrected_unweighted,2,ACB,0.611699164345404
p22,corrected_unweighted,2,CP,0.8373180873180873
p22,corrected_unweighted,2,L1-L3,0.6886264760720944
p22,corrected_unweighted,2,L4,0.4720930232558139
p22,corrected_unweighted,2,L5,0.0015479876160990713
p22,corrected_unweighted,2,L6a/b,0.6793151318833873
p22,corrected_unweighted,2,VL,0.0829015544041451
p22,corrected_unweighted,2,ccg/aco,0.800580130529369
p22,corrected_unweighted,2,others,0.5680068434559452
p22,corrected_unweighted,3,ACB,0.6028368794326242
p22,corrected_unweighted,3,CP,0.8356304236855537
p22,corrected_unweighted,3,L1-L3,0.6940845070422536
p22,corrected_unweighted,3,L4,0.43928194297782475
p22,corrected_unweighted,3,L5,0.35658429777916795
p22,corrected_unweighted,3,L6a/b,0.711578947368421
p22,corrected_unweighted,3,VL,0.0
p22,corrected_unweighted,3,ccg/aco,0.8033946251768033
p22,corrected_unweighted,3,others,0.4195121951219512
p22,corrected_unweighted,4,ACB,0.5668508287292817
p22,corrected_unweighted,4,CP,0.8295308895155089
p22,corrected_unweighted,4,L1-L3,0.7276712328767124
p22,corrected_unweighted,4,L4,0.0
p22,corrected_unweighted,4,L5,0.37712243074173374
p22,corrected_unweighted,4,L6a/b,0.7076771653543307
p22,corrected_unweighted,4,VL,0.6354166666666667
p22,corrected_unweighted,4,ccg/aco,0.733993399339934
p22,corrected_unweighted,4,others,0.35648306534382485
p22,legacy_exact,0,ACB,0.5978378378378378
p22,legacy_exact,0,CP,0.8367505839605502
p22,legacy_exact,0,L1-L3,0.6814814814814815
p22,legacy_exact,0,L4,0.4270833333333333
p22,legacy_exact,0,L5,0.0015026296018031556
p22,legacy_exact,0,L6a/b,0.7171561051004637
p22,legacy_exact,0,VL,0.07509881422924901
p22,legacy_exact,0,ccg/aco,0.7937632884479093
p22,legacy_exact,0,others,0.5630094043887147
p22,legacy_exact,1,ACB,0.6078098471986417
p22,legacy_exact,1,CP,0.8295484207778647
p22,legacy_exact,1,L1-L3,0.6994906621392191
p22,legacy_exact,1,L4,0.45564516129032256
p22,legacy_exact,1,L5,0.35326272634096345
