dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
p22,corrected_unweighted,4,alpha_omics1,0.7526851296424866,0.24731488525867462,0.21083998680114746,1.1920928955078125e-07
p22,corrected_unweighted,4,alpha_omics2,0.8102432489395142,0.18975669145584106,0.16523225605487823,1.1920928955078125e-07
p22,corrected_unweighted,4,alpha,0.5752450227737427,0.4247549772262573,0.44682490825653076,1.1920928955078125e-07
p22,legacy_exact,0,alpha_omics1,0.7480788230895996,0.251921147108078,0.2159743756055832,1.1920928955078125e-07
p22,legacy_exact,0,alpha_omics2,0.7856274843215942,0.21437253057956696,0.16241586208343506,1.1920928955078125e-07
p22,legacy_exact,0,alpha,0.6482937932014465,0.35170620679855347,0.4372124969959259,1.1920928955078125e-07
p22,legacy_exact,1,alpha_omics1,0.7536359429359436,0.24636408686637878,0.20870567858219147,1.1920928955078125e-07
p22,legacy_exact,1,alpha_omics2,0.8027569055557251,0.19724316895008087,0.16154812276363373,1.1920928955078125e-07
p22,legacy_exact,1,alpha,0.586817741394043,0.4131823480129242,0.44557303190231323,1.1920928955078125e-07
p22,legacy_exact,2,alpha_omics1,0.7699999809265137,0.22999998927116394,0.2006440907716751,1.1920928955078125e-07
p22,legacy_exact,2,alpha_omics2,0.8211016058921814,0.17889836430549622,0.15596897900104523,1.1920928955078125e-07
p22,legacy_exact,2,alpha,0.6083225011825562,0.3916774392127991,0.4306902587413788,1.1920928955078125e-07
p22,legacy_exact,3,alpha_omics1,0.757824718952179,0.24217534065246582,0.21496595442295074,1.1920928955078125e-07
p22,legacy_exact,3,alpha_omics2,0.781222403049469,0.2187776118516922,0.16251975297927856,1.1920928955078125e-07
p22,legacy_exact,3,alpha,0.6683216691017151,0.33167827129364014,0.43375706672668457,1.1920928955078125e-07
p22,legacy_exact,4,alpha_omics1,0.756961464881897,0.2430385947227478,0.21141491830348969,1.1920928955078125e-07
p22,legacy_exact,4,alpha_omics2,0.8067096471786499,0.1932903230190277,0.1658737063407898,1.1920928955078125e-07
p22,legacy_exact,4,alpha,0.603195309638977,0.39680472016334534,0.4445358216762543,1.1920928955078125e-07
placenta,abundance_only,0,alpha_omics1,0.4566330909729004,0.5433669090270996,0.21754495799541473,1.1920928955078125e-07
placenta,abundance_only,0,alpha_omics2,0.49956467747688293,0.5004353523254395,0.04602702334523201,5.960464477539063e-08
placenta,abundance_only,0,alpha,0.5637862086296082,0.43621379137039185,0.2168399542570114,1.1920928955078125e-07
placenta,abundance_only,1,alpha_omics1,0.4505205452442169,0.5494794845581055,0.19885008037090302,1.1920928955078125e-07
