dataset,tissue,protein_target,control,known_structured,shared_oof_r2,bootstrap_stability,p_boot,morans_i,spatial_excess,p_space,combined_evidence
d1,lymph_node,CR2,COORDINATE_GRAPH_PERMUTATION,0,,0.7092241008722355,0.696969696969697,0.003981951732824623,0.004138084214530433,0.695,0.6959841516830246
d1,lymph_node,PCNA,COORDINATE_GRAPH_PERMUTATION,0,,0.716304860078436,0.9090909090909091,-0.0028750842799850095,-0.0023091408958480194,0.365,0.5760366149978504
d1,lymph_node,VIM,COORDINATE_GRAPH_PERMUTATION,0,,0.7093911242126991,0.7272727272727273,0.001228774196246015,0.001217570267931836,0.61,0.6660603303277892
d1,lymph_node,KRT5,COORDINATE_GRAPH_PERMUTATION,0,,0.7212515886463171,0.9090909090909091,0.017184468814995055,0.017069953570748492,0.98,0.9438798074485389
d1,lymph_node,CD68,COORDINATE_GRAPH_PERMUTATION,0,,0.718338476093236,1.0,-0.0012572000068285945,-0.0013042049966271996,0.395,0.6284902544988268
d1,lymph_node,CEACAM8,COORDINATE_GRAPH_PERMUTATION,0,,0.695647502772362,0.09090909090909091,-0.007770386477156087,-0.007551387934353976,0.145,0.1148120994574099
d1,lymph_node,PTPRC,COORDINATE_GRAPH_PERMUTATION,0,,0.6819873016370073,0.030303030303030304,-0.00991451527394912,-0.009336939825566742,0.115,0.05903260526902472
d1,lymph_node,PAX5,COORDINATE_GRAPH_PERMUTATION,0,,0.6984607772493907,0.2727272727272727,-0.00797591328089456,-0.008562450028455838,0.16,0.2088931871468374
d1,lymph_node,SDC1,COORDINATE_GRAPH_PERMUTATION,0,,0.717751268703628,0.9393939393939394,0.006469649752866735,0.005982365245678517,0.795,0.8641864276984347
d1,lymph_node,CD8A,COORDINATE_GRAPH_PERMUTATION,0,,0.712114994307542,0.8181818181818182,0.0015178847140785703,0.002039607604210444,0.62,0.7122308103927598
d1,lymph_node,BCL2,COORDINATE_GRAPH_PERMUTATION,0,,0.6904527925097252,0.09090909090909091,-0.01155934175988893,-0.01087428359371882,0.08,0.08528028654224418
d1,lymph_node,CD19,COORDINATE_GRAPH_PERMUTATION,0,,0.7062985398694708,0.5151515151515151,0.001188151595031316,0.001623048349988999,0.585,0.5489659701326088
d1,lymph_node,PDCD1,COORDINATE_GRAPH_PERMUTATION,0,,0.7004259577430846,0.3939393939393939,-0.004869218891067943,-0.004196207067841389,0.285,0.33507122716331117
d1,lymph_node,ACTA2,COORDINATE_GRAPH_PERMUTATION,0,,0.6931279646256345,0.21212121212121213,-0.005147713991604176,-0.004949812167688642,0.26,0.23484359721209166
d1,lymph_node,FCGR3A,COORDINATE_GRAPH_PERMUTATION,0,,0.7042537872143764,0.5454545454545454,-0.00607277011073979,-0.005598519810728794,0.215,0.34245105821522476
d1,lymph_node,ITGAX,COORDINATE_GRAPH_PERMUTATION,0,,0.6956141620896857,0.18181818181818182,-0.001484840558414082,-0.0019612588425019046,0.455,0.28762349126466136
d1,lymph_node,CXCR5,COORDINATE_GRAPH_PERMUTATION,0,,0.7129766681517008,0.7878787878787878,0.008728330523523188,0.008557494470386054,0.875,0.830297500534561
d1,lymph_node,EPCAM,COORDINATE_GRAPH_PERMUTATION,0,,0.7160553453508591,0.8787878787878788,0.011628195183479914,0.012610709450087212,0.975,0.9256447384489267
d1,lymph_node,MS4A1,COORDINATE_GRAPH_PERMUTATION,0,,0.6965597649316646,0.2727272727272727,-0.007552087868082535,-0.007088613139862642,0.13,0.18829377433825437
d1,lymph_node,CD3E,COORDINATE_GRAPH_PERMUTATION,0,,0.6900120784021886,0.06060606060606061,-0.023469152635512608,-0.022914667118121543,0.005,0.017407765595569783
d1,lymph_node,CD14,COORDINATE_GRAPH_PERMUTATION,0,,0.7039697694444654,0.6666666666666666,-0.005536229982224704,-0.004643517155446083,0.27,0.4242640687119285
d1,lymph_node,CD40,COORDINATE_GRAPH_PERMUTATION,0,,0.7233845311530993,1.0,0.010982602491045828,0.011339000995133209,0.945,0.972111104761179
d1,lymph_node,PECAM1,COORDINATE_GRAPH_PERMUTATION,0,,0.7079812325704797,0.6666666666666666,0.005563933439502661,0.0054737449843548286,0.795,0.7280109889280518
d1,lymph_node,CD4,COORDINATE_GRAPH_PERMUTATION,0,,0.7082777404003961,0.7575757575757576,-0.0031582788749500022,-0.0030847032166747587,0.295,0.47274184126735436
d1,lymph_node,ITGAM,COORDINATE_GRAPH_PERMUTATION,0,,0.714287844935265,0.9090909090909091,-0.00032851310278015055,0.00029284652524179763,0.505,0.6775624761532394
d1,lymph_node,CD27,COORDINATE_GRAPH_PERMUTATION,0,,0.703685736177524,0.42424242424242425,-0.008270754066168643,-0.007797241903594213,0.13,0.23484359721209166
d1,lymph_node,CCR7,COORDINATE_GRAPH_PERMUTATION,0,,0.722973434583557,1.0,0.009567196133833543,0.010314715753470777,0.91,0.9539392014169457
d1,lymph_node,CD274,COORDINATE_GRAPH_PERMUTATION,0,,0.7221753234866988,1.0,0.014171857448997049,0.014614555622259348,0.975,0.9874208829065749
d1,lymph_node,CD163,PROTEIN_SPOT_PERMUTATION,0,,0.7016478813953538,0.36363636363636365,-0.006163123744559247,-0.005482510553440396,0.255,0.3045115313535314
d1,lymph_node,CR2,PROTEIN_SPOT_PERMUTATION,0,,0.7023727986107264,0.30303030303030304,-0.007669227058063332,-0.0069068529158548934,0.16,0.2201927530252721
d1,lymph_node,PCNA,PROTEIN_SPOT_PERMUTATION,0,,0.7091419562158503,0.6666666666666666,-0.008433552041452162,-0.007577112605791033,0.14,0.30550504633038933
d1,lymph_node,VIM,PROTEIN_SPOT_PERMUTATION,0,,0.7104148750780688,0.7878787878787878,-0.0006262233567944286,-0.0005898557552723864,0.475,0.6117535649609442
d1,lymph_node,KRT5,PROTEIN_SPOT_PERMUTATION,0,,0.7474725193006735,1.0,-0.00221291031657322,-0.0027148131186877987,0.415,0.6442049363362563
d1,lymph_node,CD68,PROTEIN_SPOT_PERMUTATION,0,,0.7004694424266604,0.3939393939393939,-0.0030380102299529164,-0.0027821758004051636,0.365,0.3791937219784615
d1,lymph_node,CEACAM8,PROTEIN_SPOT_PERMUTATION,0,,0.717546600728777,0.9393939393939394,0.006675392839525564,0.007015862671798033,0.845,0.8909477418950444
d1,lymph_node,PTPRC,PROTEIN_SPOT_PERMUTATION,0,,0.7025153455615023,0.36363636363636365,-0.009912365915196406,-0.009445379637755316,0.12,0.2088931871468374
d1,lymph_node,PAX5,PROTEIN_SPOT_PERMUTATION,0,,0.7228346506855409,0.9393939393939394,0.007595217080943471,0.008327126110219843,0.91,0.9245801668046341
d1,lymph_node,SDC1,PROTEIN_SPOT_PERMUTATION,0,,0.6963917964047013,0.18181818181818182,-0.002653573315990514,-0.0022051402999444733,0.43,0.2796101181678127
d1,lymph_node,CD8A,PROTEIN_SPOT_PERMUTATION,0,,0.7294352324158522,1.0,0.009929920053518122,0.00967784488639578,0.905,0.9513148795220224
d1,lymph_node,BCL2,PROTEIN_SPOT_PERMUTATION,0,,0.6937458941855139,0.18181818181818182,-0.012943846822491506,-0.012519478849508018,0.04,0.08528028654224418
d1,lymph_node,CD19,PROTEIN_SPOT_PERMUTATION,0,,0.7162681414727635,0.7878787878787878,0.001000193086712933,0.0008239009568680344,0.56,0.6642380004276488
d1,lymph_node,PDCD1,PROTEIN_SPOT_PERMUTATION,0,,0.6973170354605384,0.2727272727272727,0.00016052637722484929,0.0008500236852337416,0.58,0.3977207791677701
d1,lymph_node,ACTA2,PROTEIN_SPOT_PERMUTATION,0,,0.7079084074737616,0.7272727272727273,0.00853132699077334,0.00891925021118569,0.865,0.7931525131340814
d1,lymph_node,FCGR3A,PROTEIN_SPOT_PERMUTATION,0,,0.6851956177843033,0.09090909090909091,-0.004911429812558922,-0.004663697312215703,0.24,0.14770978917519928
d1,lymph_node,ITGAX,PROTEIN_SPOT_PERMUTATION,0,,0.7139900014048389,0.8181818181818182,-0.0018549669389543205,-0.0015990937404972245,0.46,0.6134848297746541
d1,lymph_node,CXCR5,PROTEIN_SPOT_PERMUTATION,0,,0.7139725469143438,0.7878787878787878,-0.00017193199164484103,0.0003552749965260042,0.545,0.6552815726036704
d1,lymph_node,EPCAM,PROTEIN_SPOT_PERMUTATION,0,,0.7062653662924724,0.696969696969697,-0.0013303402638580304,-0.001116145249063079,0.48,0.5783990443849769
d1,lymph_node,MS4A1,PROTEIN_SPOT_PERMUTATION,0,,0.7133723068993535,0.8181818181818182,0.0010329872898915044,0.001833923442733402,0.63,0.7179516316957191
d1,lymph_node,CD3E,PROTEIN_SPOT_PERMUTATION,0,,0.6936535637784547,0.12121212121212122,-0.0014388820730579443,-0.0006688820506480126,0.46,0.23613042107609888
d1,lymph_node,CD14,PROTEIN_SPOT_PERMUTATION,0,,0.7156702808356005,0.9090909090909091,-0.015251232485806886,-0.014385477208374617,0.02,0.13483997249264842
d1,lymph_node,CD40,PROTEIN_SPOT_PERMUTATION,0,,0.698010449872585,0.3333333333333333,-0.006218264728881489,-0.005515735034829763,0.23,0.27688746209726917
d1,lymph_node,PECAM1,PROTEIN_SPOT_PERMUTATION,0,,0.691233634107196,0.12121212121212122,-0.009394184214569402,-0.009723973660094719,0.13,0.12552918289216958
d1,lymph_node,CD4,PROTEIN_SPOT_PERMUTATION,0,,0.699139923319853,0.30303030303030304,-0.007352482970579241,-0.006596209998168647,0.16,0.2201927530252721
d1,lymph_node,ITGAM,PROTEIN_SPOT_PERMUTATION,0,,0.7151644261837553,0.9090909090909091,-0.007307323812986205,-0.006942248971074171,0.17,0.3931226965534482
