dataset,seed,candidate_id,role,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,cluster_file_sha256
p22,0,REFERENCE_G00_H00,reference,0.40403985585343904,0.5409416302532721,0.4724907430533556,0.8045849367784497,0.7665802804075369,0.23957418603991065,0.19541506322155033,8cfe8169e136ab86a93b82bde9995c341200969ab8d837288d1916359fa3eef8
p22,1,C00_G04_H05_CONFIRMED,candidate,0.3427756247697922,0.5406958529399833,0.44173573885488776,0.8919406267179769,0.8290853459207845,0.17133130946039976,0.10805937328202309,310c55d99c7294e153155b297dbd9f51ef77a63688ac33c8d71f26b1aa5322d3
p22,1,C01_G00_H05,candidate,0.40640926980167563,0.5915170069456939,0.4989631383736848,0.9107531610775151,0.8659800514927863,0.13555230413462077,0.08924683892248486,94e6e5075842ec3217ff86d915cd2163eb2b1549a689cb67cf68720a0f175154
p22,1,C02_DUAL_ARITHMETIC_MEAN,candidate,0.3953489646394878,0.5879572724280815,0.4916531185337847,0.9067949422759758,0.8606397395024734,0.14061571148161414,0.09320505772402421,2b8d5c4334d776569131f98c4129f131cc050f7b3fa46ac542e4b8179bcff39d
p22,1,C03_DUAL_ELEMENTWISE_MAX,candidate,0.39758650421760633,0.5858614380246362,0.49172397112112126,0.8991973611874656,0.8494944368221393,0.15185945292185188,0.10080263881253437,f905d9b28290f931348e4e0721e74d8c221aba6972d7db204ac8e0ef8bc34a11
p22,1,C04_DUAL_ELEMENTWISE_MIN,candidate,0.40446288503971883,0.5986119919552588,0.5015374384974889,0.9248268279274326,0.9045836629150524,0.09972117529975097,0.07517317207256735,f8a1242d6f91452b43b31a2ec513921147ae437ecface393174a588f1a1c1e1a
p22,1,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.4096231247724941,0.6024281213633782,0.5060256230679361,0.92609125893348,0.9088965638616592,0.09493264219872088,0.07390874106652001,dc5e35757663e7cdfd56a01c3656939e07d2892b4e5457ac9c5086ad1f7d476e
p22,1,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.41229139462938086,0.59356372764664,0.5029275611380104,0.908411214953271,0.8693281299880198,0.13208103916870456,0.09158878504672896,96a011182982bec5af7883f9016e3bc23caad28f4fd86e9d69af88b3e595a559
p22,1,C07_DUAL_LOCAL_RELIABILITY,candidate,0.39636963338481224,0.5891569489021569,0.49276329114348455,0.9069378779549203,0.8608258317443913,0.14043179028432828,0.09306212204507969,a5c14e8463fd36c53263d67162e7b7384873ab4f15b353acf7aeab17ba4a8ec5
p22,1,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.39545812367030014,0.5880658473924943,0.49176198553139727,0.9065530511269928,0.8604319897187244,0.14082815318605904,0.0934469488730072,8863da6aebf65db92613c2619a7fc732b289f593f6e154559ec5dce6c7eeb8db
p22,1,C09_DUAL_SPARSE_SNF10,candidate,0.3519474946994681,0.5162327560518255,0.43409012537564684,0.9495107201759209,0.944441635512284,0.05746071056324591,0.050489279824079136,6362ceeed480f5bd56ad2ee71b882b7d6fdf9ddc8e9791991fb1f00aee6859a1
p22,1,C10_DUAL_MEAN_SPATIAL05,candidate,0.42666851832834285,0.6007526660191223,0.5137105921737326,0.9119516217702034,0.8739586109826999,0.12717357551060385,0.08804837822979661,8455c2541a86b02522b86551928a2521f06a734e9722eaaf85fc431b90efbfb7
p22,1,C11_DUAL_MEAN_SPATIAL10,candidate,0.4324960392137848,0.604195020987086,0.5183455301004354,0.914414513468939,0.8757846750670915,0.12539780011924564,0.08558548653106102,d0e7b41c194531f201ceda7283b849741e271a658df66f3b6177df1e83a443ac
p22,1,REFERENCE_G00_H00,reference,0.3843921379945207,0.544754340665941,0.46457323933023087,0.8260362836723475,0.7592886616628364,0.24320882483130188,0.1739637163276525,a035e36013c3ca116e39d525889cc30bea915e0a61d43354fdcca5c9760823b8
p22,2,C00_G04_H05_CONFIRMED,candidate,0.3758358297485455,0.5584648599374542,0.4671503448429999,0.8874986256184717,0.8326659706924474,0.16787454004982552,0.1125013743815283,138646011a9ec067df5eb04c2f811aaded794c91c6631bbd9d6cdf531fe7d3ec
