dataset,seed,candidate_id,delta_ari,delta_nmi,delta_q,delta_neighbor_agreement,delta_moran_i,delta_geary_c,delta_boundary_disagreement,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
a1,4,C02_DUAL_ARITHMETIC_MEAN,-0.00470330625223625,0.017628592265692467,0.006462643006728164,0.050852354810748346,0.07053947033266206,-0.06379180133633339,-0.050852354810748346,0.2671374636164481,0.4052555996417681,0.3361965316291081,0.6585957815660214,0.6051184165563366,0.40821039338422,0.3414042184339786
a1,4,C03_DUAL_ELEMENTWISE_MAX,-0.011033392645181272,0.017565166688393974,0.0032658870216063507,0.03591447558509098,0.04492306818667724,-0.03870040437239508,-0.03591447558509098,0.26080737722350306,0.4051921740644696,0.3329997756439863,0.643657902340364,0.5795020144103518,0.4333017903481583,0.356342097659636
a1,4,C04_DUAL_ELEMENTWISE_MIN,-0.018116722872635993,-0.0015192153619743576,-0.009817969117305148,0.0913319849754406,0.056468796819576395,-0.06137432718600294,-0.0913319849754406,0.25372404699604834,0.3861077920141013,0.3199159195050748,0.6990754117307136,0.5910477430432509,0.41062786753455044,0.30092458826928636
a1,4,C05_DUAL_HARMONIC_INTERSECTION,-0.026204359937800514,-0.007868860431121782,-0.01703661018446112,0.07674082635076562,0.10452096049121573,-0.09738359110852546,-0.07674082635076562,0.24563640993088381,0.37975814694495386,0.31269727843791884,0.6844842531060387,0.6390999067148903,0.3746186036120279,0.31551574689396134
a1,4,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.005816073479309181,0.02161087449146093,0.007897400506075902,0.05275931811615142,0.06407284459947626,-0.05742692989861331,-0.05275931811615142,0.26602469638937515,0.40923788186753657,0.33763128912845586,0.6605027448714245,0.5986517908231508,0.41457526482194007,0.33949725512857554
a1,4,C07_DUAL_LOCAL_RELIABILITY,-0.006133139736197835,0.01451766481793848,0.004192262540870351,0.05229702398150826,0.07208618689318691,-0.06540930459617433,-0.05229702398150826,0.2657076301324865,0.4021446721940141,0.3339261511632503,0.6600404507367813,0.6066651331168614,0.40659289012437905,0.3399595492632187
a1,4,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.004863339285518298,0.01680311821793562,0.005969889466208689,0.05088124819416351,0.07049862469816226,-0.06365173811052571,-0.05088124819416351,0.26697743058316603,0.40443012559401126,0.33570377808858864,0.6586246749494366,0.6050775709218368,0.40835045661002767,0.34137532505056345
a1,4,C09_DUAL_SPARSE_SNF10,-0.043343630067560784,-0.025480383734951983,-0.03441200690125634,0.1451314648945391,0.1694104790279114,-0.16520772545500179,-0.1451314648945391,0.22849713980112354,0.36214662364112366,0.2953218817211236,0.7528748916498121,0.7039894252515859,0.3067944692655516,0.24712510835018786
a1,4,C10_DUAL_MEAN_SPATIAL05,-0.012639025240018698,0.01685777451937015,0.002109374639675754,0.06737937012424156,0.0784500434466745,-0.07190772786225602,-0.06737937012424156,0.25920174462866563,0.4044847818954458,0.3318432632620557,0.6751227968795146,0.613028989670349,0.40009446685829736,0.3248772031204854
a1,4,C11_DUAL_MEAN_SPATIAL10,-0.018381307994947915,0.01196062402990683,-0.003210341982520515,0.08509101415775788,0.09477957836934081,-0.08794789750786125,-0.08509101415775788,0.2534594618737364,0.39958763140598247,0.32652354663985944,0.6928344409130309,0.6293585245930153,0.38405429721269213,0.3071655590869691
d1,0,C00_G04_H05_CONFIRMED,0.02114892042485006,0.029182865446362116,0.025165892935606116,-0.0007184768291222943,-0.010772095089066291,0.014443559452984922,0.0007184768291222943,0.2375418648455073,0.37711150488672485,0.3073266848661161,0.6296551311220213,0.5688539164925241,0.44075212547790177,0.3703448688779787
d1,0,C01_G00_H05,0.05258672042022791,0.035477999173580965,0.04403235979690445,0.017482936175308272,0.002288591879579971,0.001444548555637415,-0.017482936175308272,0.26897966484088515,0.3834066386139437,0.3261931517274144,0.6478565441264519,0.5819146034611704,0.42775311458055426,0.3521434558735481
