dataset,max,mean,median,metric,min,n_seeds,sd,variant
placenta,0.24773038923740387,0.23020161986351012,0.22350932657718658,embedding_silhouette,0.2202547788619995,5,0.012095751819687067,FULL_IGE
placenta,1.6268940266815561,1.572736782313908,1.5989456208053083,embedding_davies_bouldin,1.4977189140937894,5,0.059254191198457776,FULL_IGE
placenta,7.771793527528644,7.316338381916284,7.480222707614303,runtime_seconds,6.633218528702855,5,0.44588049682028735,FULL_IGE
placenta,444.79833984375,444.79833984375,444.79833984375,gpu_peak_allocated_mib,444.79833984375,5,0.0,FULL_IGE
placenta,514.0,514.0,514.0,gpu_peak_reserved_mib,514.0,5,0.0,FULL_IGE
placenta,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,FULL_IGE
placenta,0.408055815067911,0.32612744934514504,0.3034305180904699,ari,0.28657328525560655,5,0.04915474383079552,DROP_RNA_RECON
placenta,0.5106159113338284,0.43427495649641346,0.4124149354577569,nmi,0.40123349339412834,5,0.044654166503908334,DROP_RNA_RECON
placenta,0.5042501367459652,0.4268514127586263,0.4047046396418767,ami,0.3933928949972407,5,0.04526062571884164,DROP_RNA_RECON
placenta,0.5053757594095734,0.4361166271995415,0.4167238378691778,fmi,0.4016850449154915,5,0.04187541094177213,DROP_RNA_RECON
placenta,0.5465176772719674,0.46117631679674365,0.4373106735222618,homogeneity,0.4264666473374734,5,0.04932766378610331,DROP_RNA_RECON
placenta,0.5106159113338284,0.43427495649641346,0.41241493545775687,v_measure,0.40123349339412845,5,0.04465416650390832,DROP_RNA_RECON
placenta,0.5035413175858826,0.46688589155251253,0.4614644261453066,hungarian_macro_f1,0.4444074633698983,5,0.024733363324307752,DROP_RNA_RECON
placenta,0.6625798904468831,0.598731001199666,0.5964362829568719,hungarian_weighted_f1,0.5623976808954102,5,0.03905360743435762,DROP_RNA_RECON
placenta,0.5375567192368502,0.5016456778800377,0.4945128947759363,hungarian_balanced_accuracy,0.45991886195775666,5,0.03238791333117769,DROP_RNA_RECON
placenta,0.5072202166064982,0.4802647412755716,0.4915764139590854,spatial_neighbor_agreement,0.43200962695547535,5,0.03013653696836031,DROP_RNA_RECON
placenta,0.5023434279343884,0.44944725078979086,0.4795032782076259,spatial_cluster_moran_mean,0.36582578759970874,5,0.06002612083158056,DROP_RNA_RECON
placenta,0.7400544992454312,0.6893389670650573,0.6625653626441748,spatial_cluster_geary_mean,0.6449434738368719,5,0.045987859964924334,DROP_RNA_RECON
placenta,0.5679903730445246,0.5197352587244284,0.5084235860409145,boundary_disagreement,0.4927797833935018,5,0.030136536968360297,DROP_RNA_RECON
placenta,0.04300045222043991,0.03736215904355049,0.0381341353058815,embedding_silhouette,0.03312237188220024,5,0.0041600983492224835,DROP_RNA_RECON
