bh_fdr_q_value,channel,dataset,domain,domain_mean,domain_median,domain_n,epsilon_squared,kruskal_h,n_domains,n_observations,p_value,seed
6.177330377170641e-33,modality2_feature_attention,a1,capsule,0.4810626846464241,0.4951843172311783,204,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,cortex,0.5070533136210119,0.5053272843360901,753,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,follicle,0.49658073534568153,0.4895768165588379,60,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,hilum,0.5190451948539071,0.5196223258972168,23,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,medulla cords,0.526765379214327,0.5349237620830536,1188,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,medulla sinuses,0.46962553141182906,0.48415568470954895,797,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,medulla vessels,0.5064324950962736,0.5220011472702026,57,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,pericapsular adipose tissue,0.4475254322402179,0.4392135441303253,320,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,subcapsular sinus,0.5357500256316082,0.5441085994243622,74,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
6.177330377170641e-33,modality2_feature_attention,a1,trabeculae,0.49998000636696815,0.49580204486846924,8,0.04812690163158742,176.1928562681347,10,3484,3.157302192776105e-33,0
0.0,cross_omics_rna_attention,a1,capsule,0.742604641937742,0.7708008587360382,204,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,cortex,0.6140885743724398,0.6458315849304199,753,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,follicle,0.8820779542128245,0.9212826192378998,60,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,hilum,0.690535192904265,0.6974306702613831,23,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,medulla cords,0.3886110208527207,0.3736836761236191,1188,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,medulla sinuses,0.490647501056287,0.5086672902107239,797,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,medulla vessels,0.33615855297498537,0.3252177834510803,57,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,pericapsular adipose tissue,0.872351177316159,0.8977916836738586,320,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,subcapsular sinus,0.6033738803219151,0.6224128901958466,74,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_rna_attention,a1,trabeculae,0.5149472877383232,0.5008326768875122,8,0.4458892113690751,1558.0191202961669,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,capsule,0.2573953573135476,0.2291991412639618,204,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,cortex,0.38591142496957404,0.3541683852672577,753,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,follicle,0.1179220440487067,0.07871736213564873,60,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,hilum,0.3094648090393647,0.30256929993629456,23,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,medulla cords,0.6113889787835304,0.6263163387775421,1188,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,medulla sinuses,0.5093524996635307,0.4913327693939209,797,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,medulla vessels,0.6638414509463728,0.6747822165489197,57,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,pericapsular adipose tissue,0.12764882112678605,0.10220830515027046,320,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,subcapsular sinus,0.39662611555006055,0.37758710980415344,74,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
0.0,cross_omics_modality2_attention,a1,trabeculae,0.4850527085363865,0.499167338013649,8,0.4458893595056093,1558.0196349224868,10,3484,0.0,1
1.4337596213925602e-10,rna_spatial_attention,a1,capsule,0.548445189773452,0.5487277507781982,204,0.016199431729753452,65.2768258291635,10,3484,1.274452996793387e-10,1
