channel,dataset,extreme_below_005_or_above_095_fraction,iqr,mean,median,n_observations,normalized_two_way_entropy,p05,p95,sd,seed,variant
rna_spatial_attention,placenta,0.01022864019253911,0.27665650099515915,0.44207425546416595,0.40629124641418457,1662,0.8543602719759604,0.15784720703959468,0.8509307533502576,0.20742694759769956,2,FULL_IGE
rna_feature_attention,placenta,0.01022864019253911,0.27665650844573975,0.5579257437883104,0.5937087535858154,1662,0.8543602734157251,0.14906924515962602,0.8421528607606883,0.20742694687902422,2,FULL_IGE
modality2_spatial_attention,placenta,0.0,0.06196887046098709,0.498465559435235,0.4966743290424347,1662,0.9931735723492027,0.4213757485151291,0.5796954005956649,0.048500898617415605,2,FULL_IGE
modality2_feature_attention,placenta,0.0,0.06196889281272888,0.501534440475107,0.5033256709575653,1662,0.9931735725039744,0.4203045696020126,0.5786241948604584,0.04850089808367128,2,FULL_IGE
cross_omics_rna_attention,placenta,0.1762936221419976,0.11433327198028564,0.8628886007265637,0.8904498219490051,1662,0.5177100016716704,0.6490873038768769,0.9712490826845169,0.10378306888780285,3,FULL_IGE
cross_omics_modality2_attention,placenta,0.1762936221419976,0.11433330457657576,0.13711139926587138,0.10955017805099487,1662,0.517710000722788,0.028750871121883393,0.3509127274155616,0.103783070030843,3,FULL_IGE
rna_spatial_attention,placenta,0.00842358604091456,0.286402128636837,0.4273663233633901,0.39135943353176117,1662,0.8488403486186438,0.14799160212278367,0.8418168157339093,0.20726801337189524,3,FULL_IGE
rna_feature_attention,placenta,0.00842358604091456,0.2864021137356758,0.5726336769604995,0.6086405515670776,1662,0.8488403491661907,0.1581831440329552,0.8520083725452423,0.20726801294468725,3,FULL_IGE
modality2_spatial_attention,placenta,0.0,0.058868974447250366,0.5004443997151872,0.4997691959142685,1662,0.9942241819309143,0.4290477365255356,0.5731871366500854,0.04465142083391572,3,FULL_IGE
modality2_feature_attention,placenta,0.0,0.05886898189783096,0.4995556000875652,0.5002308487892151,1662,0.9942241820030219,0.42681286185979844,0.5709522366523743,0.04465142055232184,3,FULL_IGE
cross_omics_rna_attention,placenta,0.24067388688327315,0.11991508305072784,0.873799212572807,0.9030644595623016,1662,0.4844481624414731,0.6643492609262467,0.9792363911867141,0.10338897901641779,4,FULL_IGE
cross_omics_modality2_attention,placenta,0.24067388688327315,0.11991503089666367,0.12620078662587453,0.09693560376763344,1662,0.4844481612425812,0.02076357426121831,0.33565076738595895,0.10338897824948656,4,FULL_IGE
rna_spatial_attention,placenta,0.01022864019253911,0.29648125171661377,0.44458402530318203,0.40974561870098114,1662,0.8462165697926605,0.14538130387663842,0.8739986270666122,0.21385305378305752,4,FULL_IGE
rna_feature_attention,placenta,0.01022864019253911,0.29648128896951675,0.5554159750789852,0.5902543365955353,1662,0.8462165699677461,0.12600130289793016,0.8546186804771423,0.21385305361166188,4,FULL_IGE
modality2_spatial_attention,placenta,0.0,0.05659162253141403,0.4983517340374337,0.4963139146566391,1662,0.9942446187178424,0.42814209759235383,0.5750321835279465,0.0445405094126931,4,FULL_IGE
modality2_feature_attention,placenta,0.0,0.05659160763025284,0.5016482665722407,0.5036860704421997,1662,0.9942446188881539,0.4249678418040276,0.5718579322099686,0.04454050874314919,4,FULL_IGE
cross_omics_rna_attention,p22,0.9629186602870813,0.022243261337280273,0.8521010220558202,0.9978926181793213,9196,0.05023991761772412,9.338107944124011e-17,0.9999996423721313,0.34415431321576195,0,FULL_IGE
cross_omics_modality2_attention,p22,0.9629186602870813,0.022243207682549837,0.1478989784047068,0.0021074035903438926,9196,0.05023992179622233,3.850066718769085e-07,1.0,0.34415431336975855,0,FULL_IGE
rna_spatial_attention,p22,0.5331665941713789,0.10478128492832184,0.9013437736178285,0.9557968080043793,9196,0.35050416721237043,0.596309632062912,0.9976454973220825,0.1339990037816514,0,FULL_IGE
rna_feature_attention,p22,0.5331665941713789,0.10478122509084642,0.09865622615027612,0.04420319013297558,9196,0.35050416689133446,0.002354437776375562,0.403690367937088,0.13399900379192106,0,FULL_IGE
modality2_spatial_attention,p22,0.07851239669421488,0.2527497708797455,0.7035429585213024,0.7112253308296204,9196,0.7618078425105927,0.3985132575035095,0.9716083854436874,0.17419142683783984,0,FULL_IGE
modality2_feature_attention,p22,0.07851239669421488,0.2527497485280037,0.296457041491984,0.28877462446689606,9196,0.7618078419098331,0.028391624800860882,0.6014867424964905,0.1741914268562776,0,FULL_IGE
cross_omics_rna_attention,p22,0.9413875598086124,0.027695223689079285,0.8645998208415121,0.9975785315036774,9196,0.06452126627028032,7.47068501099512e-17,0.9999998807907104,0.32681632595401333,1,FULL_IGE
