stage,config_id,dataset,seed,success,status,runtime_seconds,peak_rss_mib,gpu_allocation_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
H,H03,a1,4,True,success,2.617490543052554,787.06640625,0.0,0.2642334958224651,0.40905213963744214,0.33664281772995364,0.6540884137532506,0.5890768893413594,0.4245265622923169,0.34591158624674945
H,H04,a1,4,True,success,2.6197658944875,787.06640625,0.0,0.2617858451670382,0.4028733474804637,0.3323295963237509,0.6466050274487143,0.5866807137831977,0.42775862542312837,0.3533949725512857
H,H05,a1,4,True,success,2.6382737513631582,787.06640625,0.0,0.25759375596669076,0.39636406824592474,0.32697891210630775,0.6414908985842243,0.5862604442858255,0.4289108576225537,0.35850910141577574
H,H06,a1,4,True,success,2.6675260085612535,787.06640625,0.0,0.2617407899428512,0.40599092455027785,0.33386585724656453,0.6579312337474719,0.5963375909358515,0.4169365441415883,0.34206876625252813
H,H07,a1,4,True,success,2.731488848105073,787.06640625,0.0,0.2665216416295131,0.41017331790829126,0.33834747976890217,0.6602427044206877,0.5985110538177489,0.4145661083693552,0.33975729557931234
H,H08,a1,4,True,success,3.697110718116164,787.06640625,0.0,0.2151041319653566,0.36947248216994827,0.2922883070676524,0.5543773475874025,0.44346957923558206,0.559913836993577,0.44562265241259746
H,H09,a1,4,True,success,3.503186607733369,787.06640625,0.0,0.17894728941761173,0.3530671073675805,0.2660071983925961,0.5752383704131754,0.4861965824458575,0.5130089715887418,0.4247616295868246
H,H10,a1,4,True,success,4.531199876219034,787.06640625,0.0,0.17936961811720303,0.3488871405025686,0.2641283793098858,0.5500433400751228,0.45377963974538843,0.5453049339441357,0.4499566599248772
H,H11,a1,4,True,success,3.3501361943781376,787.06640625,0.0,0.18154996176855653,0.34360898109761506,0.2625794714330858,0.5665125686217856,0.5076095356706049,0.4930444152782661,0.43348743137821444
H,H12,a1,4,True,success,4.326005792245269,787.06640625,0.0,0.16598096045501046,0.33573512626363766,0.25085804335932405,0.5285755561976307,0.46585724093603176,0.5359379731326434,0.47142444380236925
H,H13,a1,4,True,success,4.183354055508971,787.06640625,0.0,0.14238714802277444,0.3087391120057554,0.22556313001426492,0.5471251083501878,0.4857772763493893,0.5152264337431661,0.4528748916498122
H,H14,a1,4,True,success,0.8049933072179556,787.06640625,0.0,0.2382929293437004,0.3931566159961011,0.31572477266990073,0.5945391505345275,0.5280805620629441,0.47941270183646967,0.40546084946547245
H,H15,a1,4,True,success,0.860066682100296,787.06640625,0.0,0.22726211984884462,0.39671504381272765,0.31198858183078615,0.619705287489165,0.5609593838216611,0.4468414158391275,0.380294712510835
H,H16,a1,4,False,scientific_numerical_failure,16.990854509174824,787.06640625,0.0,,,,,,,
H,H17,a1,4,True,success,11.111650981009007,787.06640625,0.0,0.22182243001941104,0.38893817026330196,0.30538030014135653,0.7167581623808148,0.6247267244198471,0.37462187515739653,0.2832418376191852
H,H00,tonsil,0,True,success,1.6184124145656824,787.06640625,0.0,0.1522327250963723,0.2733283147344344,0.21278051991540337,0.7200811826841025,0.5741961814432108,0.4230170022600032,0.2799188173158975
H,H01,tonsil,0,True,success,1.7320958282798529,787.06640625,0.0,0.15077472169228043,0.2714040964604334,0.21108940907635693,0.7080652229064324,0.5725648993703494,0.4242060469026758,0.29193477709356763
H,H02,tonsil,0,True,success,1.7062240205705166,787.06640625,0.0,0.13887674734087255,0.26634098518235244,0.2026088662616125,0.7204963214096266,0.5840601500445801,0.4129099374674291,0.2795036785903734
H,H03,tonsil,0,True,success,1.7684281282126904,787.06640625,0.0,0.1425662534216683,0.26649956447404793,0.2045329089478581,0.7212343458105583,0.5800294884449543,0.41711482844413866,0.27876565418944166
H,H04,tonsil,0,True,success,1.7648939080536366,787.06640625,0.0,0.14515100836349223,0.26751475973063654,0.2063328840470644,0.7207500172974469,0.5781951988989913,0.41883125236929347,0.2792499827025531
H,H05,tonsil,0,True,success,1.810883454978466,787.06640625,0.0,0.14707801323119118,0.26871069343061926,0.20789435333090522,0.722341382411956,0.5784846019666063,0.4187030408505641,0.277658617588044
H,H06,tonsil,0,True,success,1.7795185837894678,787.06640625,0.0,0.14901094663087164,0.27296393524382956,0.2109874409373506,0.7090569431951844,0.5724686015605915,0.42425851175612733,0.2909430568048156
H,H07,tonsil,0,True,success,1.6922588050365448,787.06640625,0.0,0.1476538094651544,0.27227972982128323,0.2099667696432188,0.7094259553956502,0.5735769190515765,0.4231378997395144,0.29057404460434977
H,H08,tonsil,0,True,success,2.16412609256804,787.06640625,0.0,0.1692652385524025,0.26917158039379147,0.21921840947309698,0.7152609608155169,0.5679074234989082,0.43117343913513206,0.28473903918448307
H,H09,tonsil,0,True,success,2.2870817966759205,787.06640625,0.0,0.15575798776287064,0.21596595736311536,0.185861972562993,0.6696187642703937,0.5507264053263353,0.44927026653293234,0.3303812357296063
H,H10,tonsil,0,True,success,2.2373119480907917,787.06640625,0.0,0.15880201000418565,0.21613289611256253,0.1874674530583741,0.6695034479577481,0.5493264606000775,0.45073784185536186,0.3304965520422519
H,H11,tonsil,0,True,success,2.298186717554927,787.06640625,0.0,0.15522605992439656,0.2148358173758026,0.18503093865009956,0.6693420051200443,0.5497121316554938,0.45031070435609566,0.33065799487995573
H,H12,tonsil,0,True,success,2.2252869848161936,787.06640625,0.0,0.08819672958470125,0.2017067647508374,0.14495174716776932,0.648446689268664,0.5068961246397655,0.4948943481140486,0.351553310731336
H,H13,tonsil,0,True,success,2.3010439686477184,787.06640625,0.0,0.08574627704214575,0.18409515346770192,0.13492071525492383,0.624668465601144,0.496799738768778,0.5040935672990043,0.375331534398856
H,H14,tonsil,0,True,success,0.5241164192557335,787.06640625,0.0,0.15227929732105225,0.2734494105483158,0.212864353934684,0.717820982956249,0.5730850840290063,0.4243716350662384,0.28217901704375103
H,H15,tonsil,0,True,success,0.542599881067872,787.06640625,0.0,0.16500633004599538,0.2716211878682085,0.21831375895710192,0.7026684194746189,0.6028265096677174,0.3960297473905186,0.2973315805253811
H,H16,tonsil,0,False,scientific_numerical_failure,19.35697135142982,787.06640625,0.0,,,,,,,
H,H17,tonsil,0,True,success,5.271707132458687,787.06640625,0.0,0.18711738075913079,0.2773485260292233,0.23223295339417704,0.7162988076293273,0.6147314014065345,0.3838831708144075,0.2837011923706727
H,H00,tonsil,1,True,success,1.6630062479525805,787.06640625,0.0,0.14861514560681205,0.2701300690467604,0.20937260732678623,0.7227565211374801,0.5785466906620067,0.41858951690633706,0.2772434788625199
H,H01,tonsil,1,True,success,1.7515873797237873,787.06640625,0.0,0.14575963467641015,0.26772525461107305,0.20674244464374159,0.7257778085287945,0.5844601342299227,0.41255498344893243,0.2742221914712055
H,H02,tonsil,1,True,success,1.797261269763112,787.06640625,0.0,0.14644393070506,0.26903360904104545,0.20773876987305273,0.7252012269655665,0.5837490892520882,0.41340162939857894,0.27479877303443345
H,H03,tonsil,1,True,success,1.743126556277275,787.06640625,0.0,0.14706385365819752,0.26962394911801174,0.20834390138810463,0.7238174312138195,0.5820314685164812,0.4151354001463108,0.2761825687861805
H,H04,tonsil,1,True,success,1.7558054067194462,787.06640625,0.0,0.14727431001287072,0.26917350816266783,0.20822390908776928,0.7234714822758828,0.5804607272963006,0.4165968036520049,0.27652851772411724
H,H05,tonsil,1,True,success,1.7632089387625456,787.06640625,0.0,0.1471661306185785,0.2691017761724472,0.20813395339551283,0.7229179639751839,0.5797629003003802,0.4172888777210908,0.27708203602481607
H,H06,tonsil,1,True,success,1.7960891723632812,787.06640625,0.0,0.145659456749528,0.26718058660786315,0.20642002167869555,0.7253396065407413,0.5846699779258276,0.41250527690408395,0.27466039345925874
H,H07,tonsil,1,True,success,1.7342139706015587,787.06640625,0.0,0.14584283676394771,0.26786912146057645,0.20685597911226208,0.725870061578911,0.5845483162405869,0.41247138828535357,0.274129938421089
H,H08,tonsil,1,True,success,2.2402317877858877,787.06640625,0.0,0.16623390751209363,0.2713713476555363,0.21880262758381497,0.7156991628035702,0.5713034591019555,0.4275369637620649,0.28430083719642985
H,H09,tonsil,1,True,success,2.629552638158202,787.06640625,0.0,0.13222132146010637,0.24056871625386508,0.18639501885698573,0.7187665767199428,0.5172378500750763,0.48338710353421543,0.2812334232800572
H,H10,tonsil,1,True,success,2.4958002027124166,787.06640625,0.0,0.13170200923976458,0.2389755792858642,0.18533879426281438,0.716852325930026,0.5137344802689878,0.48730154931825487,0.283147674069974
H,H11,tonsil,1,True,success,2.414065171033144,787.06640625,0.0,0.1654586174996041,0.2700377186715368,0.21774816808557046,0.7181208053691275,0.5764790147047438,0.4226453954256016,0.2818791946308725
H,H12,tonsil,1,True,success,2.217246185988188,787.06640625,0.0,0.0931237687073824,0.20259719011056695,0.14786047940897468,0.6478009179178487,0.5164627490455167,0.48454793611198566,0.35219908208215134
H,H13,tonsil,1,True,success,2.4966900069266558,787.06640625,0.0,0.11339076468770189,0.24566983133718737,0.17953029801244463,0.7166678198297931,0.6095206863266571,0.3870139588500945,0.2833321801702069
H,H14,tonsil,1,True,success,0.4522133767604828,787.06640625,0.0,0.15035112412319193,0.2729847814166598,0.2116679527699259,0.7195276643834037,0.5759811687465803,0.4214744784805211,0.28047233561659635
H,H15,tonsil,1,True,success,0.6162540074437857,787.06640625,0.0,0.14695093035947726,0.26849039497321137,0.2077206626663443,0.722733457874951,0.5830412080005962,0.41477771922541434,0.277266542125049
H,H16,tonsil,1,False,scientific_numerical_failure,17.371441558003426,787.06640625,0.0,,,,,,,
H,H17,tonsil,1,False,scientific_numerical_failure,26.437155418097973,787.06640625,0.0,,,,,,,
H,H00,tonsil,2,True,success,1.954344442114234,801.875,0.0,0.1553315607124325,0.2730142678484609,0.2141729142804467,0.7206116377222722,0.5759348312096273,0.42169631325998735,0.2793883622777278
H,H01,tonsil,2,True,success,1.800694739446044,801.875,0.0,0.1520580615530925,0.2716152413578658,0.21183665145547914,0.7242325699393436,0.5823688416242586,0.415074507391891,0.2757674300606564
H,H02,tonsil,2,True,success,1.7064881287515163,801.875,0.0,0.15211197692849446,0.2723698161009793,0.21224089651473688,0.7240711271016398,0.5818570037161888,0.4156005274278825,0.2759288728983602
H,H03,tonsil,2,True,success,1.6967452764511108,801.875,0.0,0.1512919832338164,0.2710574438315514,0.2111747135326839,0.7236559883761157,0.5811740583332707,0.41606419789609767,0.27634401162388433
H,H04,tonsil,2,True,success,1.7209537979215384,801.875,0.0,0.15287385619361635,0.2729793730808885,0.21292661463725243,0.7224797619871307,0.5791605884783174,0.41810767373771524,0.2775202380128693
H,H05,tonsil,2,True,success,1.6886262875050306,801.875,0.0,0.15244130254287871,0.27175905229456065,0.21210017741871967,0.7216494845360825,0.5780953430343718,0.41916146348959965,0.27835051546391754
H,H06,tonsil,2,True,success,1.6714139301329851,801.875,0.0,0.15147776527367252,0.2699008201690874,0.21068929272137996,0.724301759726931,0.5826072600706764,0.4147745414332486,0.275698240273069
H,H07,tonsil,2,True,success,1.694240340963006,801.875,0.0,0.15176710713810082,0.2714644016796479,0.21161575440887437,0.7237251781637031,0.5819299087500996,0.4155056810182739,0.2762748218362969
H,H08,tonsil,2,True,success,2.2728376872837543,801.875,0.0,0.13818951737350071,0.2398254079694734,0.18900746267148705,0.7155838464909247,0.5113926740390966,0.48911451098984315,0.28441615350907534
H,H09,tonsil,2,True,success,2.3491819612681866,801.875,0.0,0.1640423469563254,0.2638711901551002,0.2139567685557128,0.7228949007126548,0.5813184388146766,0.41770710358850865,0.27710509928734517
H,H10,tonsil,2,True,success,2.2267712019383907,801.875,0.0,0.16371923332627233,0.26277860969203165,0.21324892150915198,0.7190894623953504,0.577357425481131,0.42142729579233706,0.28091053760464957
H,H11,tonsil,2,True,success,2.223155163228512,801.875,0.0,0.16410905584256727,0.26205232283569546,0.21308068933913138,0.7237251781637031,0.5815211425581162,0.41758531768864443,0.2762748218362969
H,H12,tonsil,2,True,success,2.443527527153492,801.875,0.0,0.09969857627900473,0.23436834497640952,0.16703346062770713,0.7129546345626052,0.6010307986858138,0.3960662823663445,0.2870453654373948
H,H13,tonsil,2,True,success,2.2510355804115534,801.875,0.0,0.07164935913322781,0.17419573784734643,0.12292254849028712,0.6423118614359187,0.5169171807908142,0.4841380554932587,0.3576881385640813
H,H14,tonsil,2,True,success,0.4352894742041826,801.875,0.0,0.15612511660655537,0.27521393401076705,0.2156695253086612,0.7193200950206416,0.5758027555728641,0.42207849190171987,0.28067990497935835
H,H15,tonsil,2,True,success,0.6269328370690346,801.875,0.0,0.15361023225068368,0.2740645732381798,0.21383740274443175,0.7214880416983787,0.5810196508584089,0.41703657048207227,0.27851195830162134
H,H16,tonsil,2,False,scientific_numerical_failure,17.151046393439174,801.875,0.0,,,,,,,
H,H17,tonsil,2,True,success,6.005210956558585,801.875,0.0,0.15147241484803003,0.25453696123584474,0.2030046880419374,0.7069812495675638,0.6056368172050424,0.39391314674201355,0.2930187504324362
