dataset,geary_c,mean_one_vs_rest_geary_c,predicted_cluster,seed,variant
a1,0.4313432651206528,0.5262554838567046,4,3,UNIFORM_WITHIN
a1,0.697641300716519,0.5262554838567046,5,3,UNIFORM_WITHIN
a1,0.6257888560451165,0.5262554838567046,6,3,UNIFORM_WITHIN
a1,0.6195516063146473,0.5262554838567046,7,3,UNIFORM_WITHIN
a1,0.7485090216092817,0.5262554838567046,8,3,UNIFORM_WITHIN
a1,0.30244356315387433,0.5262554838567046,9,3,UNIFORM_WITHIN
a1,0.5026916613061244,0.5262554838567046,10,3,UNIFORM_WITHIN
a1,0.4869706058996253,0.5146602115222173,1,4,UNIFORM_WITHIN
a1,0.46302008515907284,0.5146602115222173,2,4,UNIFORM_WITHIN
a1,0.6177472875340352,0.5146602115222173,3,4,UNIFORM_WITHIN
a1,0.5402296872577188,0.5146602115222173,4,4,UNIFORM_WITHIN
a1,0.4949672140113389,0.5146602115222173,5,4,UNIFORM_WITHIN
a1,0.6055764979343962,0.5146602115222173,6,4,UNIFORM_WITHIN
a1,0.643458059101658,0.5146602115222173,7,4,UNIFORM_WITHIN
a1,0.426113693850749,0.5146602115222173,8,4,UNIFORM_WITHIN
a1,0.6098534834115827,0.5146602115222173,9,4,UNIFORM_WITHIN
a1,0.25866550106199526,0.5146602115222173,10,4,UNIFORM_WITHIN
a1,0.5235274077460144,0.4994194351182104,1,0,UNIFORM_CROSS
a1,0.6311477471266046,0.4994194351182104,2,0,UNIFORM_CROSS
a1,0.41292450111198337,0.4994194351182104,3,0,UNIFORM_CROSS
a1,0.41270694967503196,0.4994194351182104,4,0,UNIFORM_CROSS
a1,0.39365691474421743,0.4994194351182104,5,0,UNIFORM_CROSS
a1,0.4625348762005935,0.4994194351182104,6,0,UNIFORM_CROSS
a1,0.7649874276705956,0.4994194351182104,7,0,UNIFORM_CROSS
a1,0.20798017871236846,0.4994194351182104,8,0,UNIFORM_CROSS
a1,0.6172869682636775,0.4994194351182104,9,0,UNIFORM_CROSS
a1,0.5674413799310174,0.4994194351182104,10,0,UNIFORM_CROSS
a1,0.6791200290109349,0.5087958898509677,1,1,UNIFORM_CROSS
a1,0.47649598955698863,0.5087958898509677,2,1,UNIFORM_CROSS
a1,0.40229176665864247,0.5087958898509677,3,1,UNIFORM_CROSS
a1,0.43390632422227027,0.5087958898509677,4,1,UNIFORM_CROSS
a1,0.6761747081878279,0.5087958898509677,5,1,UNIFORM_CROSS
a1,0.43500647598936276,0.5087958898509677,6,1,UNIFORM_CROSS
a1,0.5343802518420167,0.5087958898509677,7,1,UNIFORM_CROSS
a1,0.5828251560433277,0.5087958898509677,8,1,UNIFORM_CROSS
a1,0.5989247230981666,0.5087958898509677,9,1,UNIFORM_CROSS
a1,0.2688334739001389,0.5087958898509677,10,1,UNIFORM_CROSS
a1,0.3410676371725191,0.49470519987296047,1,2,UNIFORM_CROSS
a1,0.5574687178345955,0.49470519987296047,2,2,UNIFORM_CROSS
a1,0.41197434044679243,0.49470519987296047,3,2,UNIFORM_CROSS
a1,0.45165240920233307,0.49470519987296047,4,2,UNIFORM_CROSS
a1,0.7401930571414006,0.49470519987296047,5,2,UNIFORM_CROSS
a1,0.28783384750922586,0.49470519987296047,6,2,UNIFORM_CROSS
a1,0.5882250313939612,0.49470519987296047,7,2,UNIFORM_CROSS
a1,0.49012549961061497,0.49470519987296047,8,2,UNIFORM_CROSS
a1,0.6473423623714717,0.49470519987296047,9,2,UNIFORM_CROSS
a1,0.43116909604668996,0.49470519987296047,10,2,UNIFORM_CROSS
a1,0.46585350765630457,0.5022369998352975,1,3,UNIFORM_CROSS
a1,0.6804684094516991,0.5022369998352975,2,3,UNIFORM_CROSS
a1,0.405160990816345,0.5022369998352975,3,3,UNIFORM_CROSS
a1,0.387954785638927,0.5022369998352975,4,3,UNIFORM_CROSS
a1,0.6784910107712743,0.5022369998352975,5,3,UNIFORM_CROSS
a1,0.3845087403847782,0.5022369998352975,6,3,UNIFORM_CROSS
a1,0.6609667133821734,0.5022369998352975,7,3,UNIFORM_CROSS
