bh_fdr_q_value,channel,dataset,label_values_read,n_observations,p_value,qc_variable,seed,spearman_rho
0.7994609775702207,rna_spatial_attention,a1,False,3484,0.7766192353539287,modality2_l2_norm,3,0.004808567148779604
0.061536543331332565,rna_spatial_attention,a1,False,3484,0.04913155761215918,spatial_graph_degree,3,0.03333491913975729
0.0029034955421117317,rna_spatial_attention,a1,False,3484,0.001995577094816476,feature_graph_degree,3,0.052348282465455434
0.8736769655218733,rna_spatial_attention,a1,False,3484,0.8653562325169031,local_modality_neighborhood_consistency,3,-0.002873684898846535
1.386952860265605e-07,rna_feature_attention,a1,False,3484,6.582522305070094e-08,rna_log_library_size,3,-0.09136474842738226
0.8414395981646157,rna_feature_attention,a1,False,3484,0.8267477956569795,rna_feature_l2_norm,3,-0.0037094584409725364
6.401884631333702e-06,rna_feature_attention,a1,False,3484,3.414338470044641e-06,modality2_row_sum,3,-0.07858747134036631
0.7994609775702207,rna_feature_attention,a1,False,3484,0.7766192353539287,modality2_l2_norm,3,-0.004808567148779604
0.061536543331332565,rna_feature_attention,a1,False,3484,0.04913155761215918,spatial_graph_degree,3,-0.03333491913975729
0.0029034955421117317,rna_feature_attention,a1,False,3484,0.001995577094816476,feature_graph_degree,3,-0.052348282465455434
0.8736769655218733,rna_feature_attention,a1,False,3484,0.8653562325169031,local_modality_neighborhood_consistency,3,0.002873684898846535
4.425027118916181e-07,modality2_spatial_attention,a1,False,3484,2.1771924683090487e-07,rna_log_library_size,3,-0.08768098604596229
0.8688842407330347,modality2_spatial_attention,a1,False,3484,0.8564677054669267,rna_feature_l2_norm,3,-0.003065407132939413
2.6375891430788892e-27,modality2_spatial_attention,a1,False,3484,4.689047365473581e-28,modality2_row_sum,3,0.18451414134743047
1.5430612481107926e-27,modality2_spatial_attention,a1,False,3484,2.645247853904216e-28,modality2_l2_norm,3,0.1853659136863276
5.222399580098968e-07,modality2_spatial_attention,a1,False,3484,2.5863253509985456e-07,spatial_graph_degree,3,-0.08713846750998715
0.6595590567553662,modality2_spatial_attention,a1,False,3484,0.6218663419873696,feature_graph_degree,3,0.008358694095448928
1.0445163669996078e-11,modality2_spatial_attention,a1,False,3484,3.647165778363665e-12,local_modality_neighborhood_consistency,3,0.1173844622860868
4.425027118916181e-07,modality2_feature_attention,a1,False,3484,2.1773942966095493e-07,rna_log_library_size,3,0.08768069486566206
0.8688842407330347,modality2_feature_attention,a1,False,3484,0.8564716087225628,rna_feature_l2_norm,3,0.0030653228568427193
2.6375891430788892e-27,modality2_feature_attention,a1,False,3484,4.688378844663506e-28,modality2_row_sum,3,-0.18451435401033944
1.5430612481107926e-27,modality2_feature_attention,a1,False,3484,2.6450342280750265e-28,modality2_l2_norm,3,-0.18536603356058184
5.222399580098968e-07,modality2_feature_attention,a1,False,3484,2.5863312206204413e-07,spatial_graph_degree,3,0.08713846033886494
0.6595590567553662,modality2_feature_attention,a1,False,3484,0.6218699677979167,feature_graph_degree,3,-0.008358607123283623
1.0445163669996078e-11,modality2_feature_attention,a1,False,3484,3.647517472062123e-12,local_modality_neighborhood_consistency,3,-0.11738423413699565
0.007404876072719179,cross_omics_rna_attention,a1,False,3484,0.005347966052519407,rna_log_library_size,4,0.047178651003277824
4.8672233419364244e-51,cross_omics_rna_attention,a1,False,3484,4.480935775116073e-52,rna_feature_l2_norm,4,-0.25314292627514323
0.8217406209937768,cross_omics_rna_attention,a1,False,3484,0.8034791160340511,modality2_row_sum,4,-0.004217424493193942
