family,lane,variant,partition_sha256,changed_observations,producer_label_reads,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,neighbor_agreement,evaluated_observations,min_cluster_size,cluster_sizes
RNA_PROTEIN,tonsil_s1,DIRECTIONAL_EDGE_ONLY,5fd02f006d4448b2bd5b55e128bbfbd2b322446536872fd0b6af7d660642392a,189,0,0.22221960254401935,0.28538054314044237,0.2847545475450553,0.4934687322153944,0.32085214826940295,0.28538054314044237,0.3593449797993245,0.2831225647477705,0.7944957814383287,4326,501,"[501,1297,1080,1448]"
RNA_PROTEIN,tonsil_s2,STRONG_START_ONLY,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,0,0,0.25826424500877926,0.31432408099851056,0.31374944344293665,0.5154080732104173,0.3434033163172776,0.31432408099851056,0.38737209880155526,0.22418440405970358,0.833791472223998,4518,445,"[1008,1395,445,1671]"
RNA_PROTEIN,tonsil_s2,CMBF_TPR_FULL,cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,8,0,0.2587853670379758,0.31654623862882414,0.3159733485923322,0.5158460787106333,0.34576251609552017,0.31654623862882414,0.38708506304917056,0.22500956575824918,0.8332800613693025,4518,445,"[1001,1403,445,1670]"
RNA_PROTEIN,tonsil_s2,BOUNDARY_STATE_DISABLED,54b67bdf3b9e886f041be5de22aad9b9473f69e59d810d90590a6b4d63f58330,16,0,0.2573408390690749,0.3151123223414539,0.31453856213639103,0.5146830900107384,0.3443900750161955,0.3151123223414539,0.38669205886665436,0.22581852705143912,0.8324490187304225,4518,450,"[1000,1403,450,1666]"
RNA_PROTEIN,tonsil_s2,CONFLICT_STATE_DISABLED,0298fa90de8370a28f6738b3973b13204bd9e6787c8ced4060739c8bdb054793,14,0,0.25796627102790914,0.315716428683845,0.31514313050058984,0.5151224560962326,0.3450247016442303,0.315716428683845,0.38681974317754747,0.22552876729571192,0.8325129450872595,4518,449,"[1001,1403,449,1666]"
RNA_PROTEIN,tonsil_s2,TRUST_GATE_DISABLED,cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,8,0,0.2587853670379758,0.31654623862882414,0.3159733485923322,0.5158460787106333,0.34576251609552017,0.31654623862882414,0.38708506304917056,0.22500956575824918,0.8332800613693025,4518,445,"[1001,1403,445,1670]"
RNA_PROTEIN,tonsil_s2,GENERIC_REPAIR_ONLY,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,0,0,0.25826424500877926,0.31432408099851056,0.31374944344293665,0.5154080732104173,0.3434033163172776,0.31432408099851056,0.38737209880155526,0.22418440405970358,0.833791472223998,4518,445,"[1008,1395,445,1671]"
RNA_PROTEIN,tonsil_s2,DIRECTIONAL_EDGE_ONLY,bada4ad0600e60e6348a8362814eb797ec5a9896bade77d2817384c8e7ba9bf4,195,0,0.24132499516820383,0.2904027655671016,0.2898086514749166,0.504158933640337,0.3175519764341137,0.2904027655671016,0.3824518524346078,0.2348142802664965,0.8255449721920348,4518,479,"[945,1395,479,1700]"
RNA_PROTEIN,tonsil_s3,STRONG_START_ONLY,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,0,0,0.350644182009914,0.3097714630576775,0.30912902465600894,0.6146168233278212,0.3152708757168304,0.30977146305767744,0.32517089619736017,0.3484934881972105,0.7930912687199774,4460,294,"[2470,573,1184,294]"
RNA_PROTEIN,tonsil_s3,CMBF_TPR_FULL,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd,3,0,0.35128336225091983,0.31024922882536426,0.309607242029315,0.615016726276322,0.3157600416355239,0.31024922882536426,0.32538063077922214,0.3480947044111666,0.7935857586888951,4460,294,"[2471,574,1182,294]"
