bootstrap_ci_high,bootstrap_ci_low,bootstrap_replicates,ci_is_descriptive_only,dataset,max,mean,median,metric,min,n,sd,variant
0.5147393953205661,0.4993273447855803,10000,True,a1,0.5186005663213054,0.5075827442087684,0.5063600106666353,hungarian_weighted_f1,0.4918417899360001,5,0.010356910669805805,IGE
0.467636734031916,0.4117400778531855,10000,True,a1,0.4816854287484061,0.439352299262576,0.43342434853292316,hungarian_balanced_accuracy,0.3885243351171884,5,0.03633637196837332,IGE
0.5862928945018497,0.5643002934047711,10000,True,a1,0.5908916953693073,0.5766296721520603,0.5766679423395842,spatial_neighbor_agreement,0.5529563719862227,5,0.014676843351162972,IGE
0.49082228152610874,0.4743124156756422,10000,True,a1,0.49231128120401246,0.48348663476856285,0.4883071809623184,spatial_cluster_moran_mean,0.4673736833508636,5,0.010400786466648044,IGE
0.16364308893680574,0.13710291385650636,10000,True,a1,0.16971355676651,0.15137570202350617,0.1543259173631668,embedding_silhouette,0.12633776664733887,5,0.016883505225630594,IGE
2.031655242546584,1.862298658985623,10000,True,a1,2.0539773808348056,1.9506346232319625,1.9453672236587944,embedding_davies_bouldin,1.7925608989637472,5,0.10933617533685033,IGE
14.479776423051954,10.046249026060105,10000,True,a1,16.876406881958246,11.9170140016824,10.483221776783466,runtime_seconds,9.418231796473265,5,2.9672871670570635,IGE
747.1728515625,747.1728515625,10000,True,a1,747.1728515625,747.1728515625,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.0,IGE
840.0,840.0,10000,True,a1,840.0,840.0,840.0,gpu_peak_reserved_mib,840.0,5,0.0,IGE
1430.2265625,1393.56796875,10000,True,a1,1436.9140625,1414.66328125,1420.1953125,cpu_peak_rss_mib,1375.81640625,5,22.89097569323939,IGE
0.21719948178118237,0.19209129992732432,10000,True,a1,0.22606904800458136,0.2049369752039348,0.20706179406736513,ari,0.18445123284444695,5,0.016344154792028383,ILN
0.3486006551971989,0.32907259361878716,10000,True,a1,0.3575667030382593,0.33802750537498943,0.3377570708823997,nmi,0.32451058608307143,5,0.012548701799517068,ILN
0.34390992547936117,0.32474443184926993,10000,True,a1,0.3533499828800601,0.333785136280567,0.3336260817485665,ami,0.320227771214114,5,0.012584311207372939,ILN
0.3659634861546541,0.33553728686713385,10000,True,a1,0.3771356507789106,0.351692658932979,0.3566406052892538,fmi,0.3264996978694693,5,0.019587268410014066,ILN
0.39112358857700963,0.37309765593560423,10000,True,a1,0.3931166175591814,0.382110622256307,0.38360739286736645,homogeneity,0.3696453216812783,5,0.011312571189690394,ILN
0.34860065519719885,0.32907259361878716,10000,True,a1,0.3575667030382592,0.3380275053749894,0.3377570708823997,v_measure,0.3245105860830714,5,0.012548701799517042,ILN
0.33326383556980044,0.2854839282300289,10000,True,a1,0.35626511502822966,0.30606803150726053,0.30350756123762507,hungarian_macro_f1,0.273043648506135,5,0.03129575847392842,ILN
0.4916618320570706,0.452372380264066,10000,True,a1,0.5011028472663918,0.47313165841042826,0.48244737740105503,hungarian_weighted_f1,0.43987691696781783,5,0.02571302418667473,ILN
0.409031313407975,0.3346078764657735,10000,True,a1,0.4526729834409859,0.3630950637597272,0.34683688816711233,hungarian_balanced_accuracy,0.32882783047362063,5,0.05098561846421629,ILN
0.6011927541778288,0.5857124633244035,10000,True,a1,0.6017030233448144,0.5935897435897435,0.6003635667814772,spatial_neighbor_agreement,0.5813400943997958,5,0.010259638349231624,ILN
0.5562160302815379,0.5163778728988866,10000,True,a1,0.5752389990549902,0.534886920370065,0.5276815771213593,spatial_cluster_moran_mean,0.5051876694102289,5,0.025979705485039455,ILN
0.1077620655298233,0.08579504787921906,10000,True,a1,0.10794925689697266,0.09808546006679535,0.10707232356071472,embedding_silhouette,0.07678475975990295,5,0.013991231858155003,ILN
2.4251978861037022,2.1303041097478874,10000,True,a1,2.5368940282311905,2.28663348188947,2.316837326912725,embedding_davies_bouldin,2.028055246001396,5,0.18879274024579978,ILN
18.56086650900543,11.260088532418013,10000,True,a1,22.605461109429598,14.18109433464706,12.13081369549036,runtime_seconds,10.903566831722856,5,4.871453225448062,ILN
599.73193359375,599.73193359375,10000,True,a1,599.73193359375,599.73193359375,599.73193359375,gpu_peak_allocated_mib,599.73193359375,5,0.0,ILN
638.0,638.0,10000,True,a1,638.0,638.0,638.0,gpu_peak_reserved_mib,638.0,5,0.0,ILN
1436.9140625,1426.8828125,10000,True,a1,1436.9140625,1433.5703125,1436.9140625,cpu_peak_rss_mib,1420.1953125,5,7.476852299764921,ILN
0.4813510575835235,0.4526182510889056,10000,True,placenta,0.4889099432196879,0.4669846543362146,0.45936894656627975,ari,0.4478764796473973,5,0.018638859344498066,C0
0.5659783606709884,0.5325161067511177,10000,True,placenta,0.5837821987211743,0.5469302445565696,0.5392726035957096,nmi,0.5275141837942644,5,0.022171822044693788,C0
