formal_phase,dataset,model_seed,filter_id,topology_correlation,global_disagreement,roughness_ratio,frequency_gate,integrity_score,integrity_gate,raw_global_gate,global_gate,joint_support_mean,conflict_mean,conflict_q90,trust_mean,trust_evidence_fraction,beta_low_mean,beta_high_mean,exact_identity_fallback,dense_n_by_n_count
CONFIRMATION,tonsil_s2,0,W01_FIXED_LOW60,0.6038514375686646,0.1980742812156677,0.1657984107732772,6.595444119739113e-06,0.8757216334342957,1.0,6.595444119739113e-06,6.595444119739113e-06,0.9145268201828004,0.0388051867485046,0.0888603329658508,1.0,1.0,0.5999999642372131,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,0,W02_TCF_FINAL,0.6038514375686646,0.1980742812156677,0.1657984107732772,6.595444119739113e-06,0.8757216334342957,0.9597533345222472,6.3299994508270174e-06,0.0,0.9145268201828004,0.0388051867485046,0.0888603329658508,0.942590057849884,0.25,0.0,0.0,1.0,0.0
CONFIRMATION,tonsil_s2,1,W00_IDENTITY,0.6056309938430786,0.1971845030784607,0.1671958863735199,6.921527983649867e-06,0.8795309066772461,1.0,6.921527983649867e-06,6.921527983649867e-06,0.9175100922584534,0.0379791557788848,0.0865104496479034,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,1,W01_FIXED_LOW60,0.6056309938430786,0.1971845030784607,0.1671958863735199,6.921527983649867e-06,0.8795309066772461,1.0,6.921527983649867e-06,6.921527983649867e-06,0.9175100922584534,0.0379791557788848,0.0865104496479034,1.0,1.0,0.5999999642372131,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,1,W02_TCF_FINAL,0.6056309938430786,0.1971845030784607,0.1671958863735199,6.921527983649867e-06,0.8795309066772461,0.9639428853988647,6.671957635262515e-06,0.0,0.9175100922584534,0.0379791557788848,0.0865104496479034,0.9440466165542604,0.25,0.0,0.0,1.0,0.0
CONFIRMATION,tonsil_s2,2,W00_IDENTITY,0.5867711305618286,0.2066144347190857,0.1624344736337661,7.5848174674320035e-06,0.8774308562278748,1.0,7.5848174674320035e-06,7.5848174674320035e-06,0.915756106376648,0.0383252277970314,0.087032563984394,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,2,W01_FIXED_LOW60,0.5867711305618286,0.2066144347190857,0.1624344736337661,7.5848174674320035e-06,0.8774308562278748,1.0,7.5848174674320035e-06,7.5848174674320035e-06,0.915756106376648,0.0383252277970314,0.087032563984394,1.0,1.0,0.5999999642372131,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,2,W02_TCF_FINAL,0.5867711305618286,0.2066144347190857,0.1624344736337661,7.5848174674320035e-06,0.8774308562278748,0.9616879820823668,7.294227998499991e-06,0.0,0.915756106376648,0.0383252277970314,0.087032563984394,0.9433649778366088,0.25,0.0,0.0,1.0,0.0
CONFIRMATION,tonsil_s3,0,W00_IDENTITY,0.6589394807815552,0.1705302596092224,0.100477285683155,4.3515289149809184e-08,0.902584671974182,1.0,4.3515289149809184e-08,4.3515289149809184e-08,0.932545840740204,0.0299611818045377,0.0654432773590087,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,0,W01_FIXED_LOW60,0.6589394807815552,0.1705302596092224,0.100477285683155,4.3515289149809184e-08,0.902584671974182,1.0,4.3515289149809184e-08,4.3515289149809184e-08,0.932545840740204,0.0299611818045377,0.0654432773590087,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,0,W02_TCF_FINAL,0.6589394807815552,0.1705302596092224,0.100477285683155,4.3515289149809184e-08,0.902584671974182,0.9816128015518188,4.271516473863812e-08,0.0,0.932545840740204,0.0299611818045377,0.0654432773590087,0.9528831839561462,0.25,0.0,0.0,1.0,0.0
CONFIRMATION,tonsil_s3,1,W00_IDENTITY,0.6625859141349792,0.1687070429325103,0.1056226640939712,5.5086598393927495e-08,0.9042516946792604,1.0,5.5086598393927495e-08,5.5086598393927495e-08,0.9335168600082396,0.02926517277956,0.0640016198158264,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,1,W01_FIXED_LOW60,0.6625859141349792,0.1687070429325103,0.1056226640939712,5.5086598393927495e-08,0.9042516946792604,1.0,5.5086598393927495e-08,5.5086598393927495e-08,0.9335168600082396,0.02926517277956,0.0640016198158264,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,1,W02_TCF_FINAL,0.6625859141349792,0.1687070429325103,0.1056226640939712,5.5086598393927495e-08,0.9042516946792604,0.982494056224823,5.4122256898381245e-08,0.0,0.9335168600082396,0.02926517277956,0.0640016198158264,0.9534565806388856,0.25,0.0,0.0,1.0,0.0
CONFIRMATION,tonsil_s3,2,W00_IDENTITY,0.6421005725860596,0.1789497137069702,0.1050344556570053,8.010361085553086e-08,0.903627336025238,1.0,8.010361085553086e-08,8.010361085553086e-08,0.9335176348686218,0.0298902820795774,0.0660478472709655,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,2,W01_FIXED_LOW60,0.6421005725860596,0.1789497137069702,0.1050344556570053,8.010361085553086e-08,0.903627336025238,1.0,8.010361085553086e-08,8.010361085553086e-08,0.9335176348686218,0.0298902820795774,0.0660478472709655,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,2,W02_TCF_FINAL,0.6421005725860596,0.1789497137069702,0.1050344556570053,8.010361085553086e-08,0.903627336025238,0.982168972492218,7.867527784810592e-08,0.0,0.9335176348686218,0.0298902820795774,0.0660478472709655,0.9532850980758668,0.25,0.0,0.0,1.0,0.0
