scope,config_id,molecular,topology,learned,uncertainty,dual_improvement_count,worst_min_delta,mean_delta_ari,mean_delta_nmi,weight_sum
STRICT_LOSO_HELD_P22_K9,M1_T1_L1_U0.5,1.0,1.0,1.0,0.5,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,3.5
STRICT_LOSO_HELD_P22_K9,M1_T1_L1_U1,1.0,1.0,1.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,4.0
STRICT_LOSO_HELD_P22_K9,M1_T1_L2_U0,1.0,1.0,2.0,0.0,0,-0.17566077028845745,-0.1030997135441776,-0.06243373770202876,4.0
STRICT_LOSO_HELD_P22_K9,M1_T1_L2_U0.5,1.0,1.0,2.0,0.5,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,4.5
STRICT_LOSO_HELD_P22_K9,M1_T1_L2_U1,1.0,1.0,2.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,5.0
STRICT_LOSO_HELD_P22_K9,M1_T2_L0.5_U0,1.0,2.0,0.5,0.0,0,-0.17141331468347498,-0.10097598574168637,-0.060599357914270346,3.5
STRICT_LOSO_HELD_P22_K9,M1_T2_L0.5_U0.5,1.0,2.0,0.5,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,4.0
STRICT_LOSO_HELD_P22_K9,M1_T2_L0.5_U1,1.0,2.0,0.5,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,4.5
STRICT_LOSO_HELD_P22_K9,M1_T2_L1_U0,1.0,2.0,1.0,0.0,0,-0.17109194117325038,-0.10081529898657407,-0.06084793694428081,4.0
STRICT_LOSO_HELD_P22_K9,M1_T2_L1_U0.5,1.0,2.0,1.0,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,4.5
STRICT_LOSO_HELD_P22_K9,M1_T2_L1_U1,1.0,2.0,1.0,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,5.0
