dataset,variant,deterministic_embedding_sha256,training_seed,endpoint_seed,k,total_observations,evaluated_observations,ordered_id_sha256,partition_sha256,inertia,centroid_margin,change_rate_vs_endpoint_seed0,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,identity_ari,identity_nmi,delta_ari,delta_nmi,win_both
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,110de8a42ee81e06d120397f603b64d30da6603beb6f79effcb50ad895b99077,177687.5625,0.0920855205789095,0.235361653272101,3.7057279516011477,0.2251215542842733,0.3541745999036584,0.3501788588932426,0.3766037115228784,0.38480467155283743,0.3541745999036584,0.4777924593805715,0.5359457372309793,0.2251215542842733,0.3541745999036584,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,11,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,f30407257816ab8210175d2dd1ab981340645f8ca3bf13920fde817409d587f3,177659.046875,0.09748911949449224,0.37428243398392647,3.6100171133875847,0.26023729859559014,0.3639043016165359,0.3598027289255302,0.42209578266810377,0.37502724309120256,0.363904301616536,0.4647725705394857,0.5439607758850158,0.26023729859559014,0.3639043016165359,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,12,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,36074f11ec6381c10c09f03b9f870153465a78eee6f5e1493b45fe6a668673bf,177562.25,0.09175152944166122,0.2075200918484501,3.3752012681216,0.22076785793319043,0.34469350203180754,0.3407876400913894,0.37533514786059463,0.3687210213038376,0.3446935020318076,0.4279557779056338,0.5745159374191733,0.22076785793319043,0.34469350203180754,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,13,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,8a3a22cf24838df1108672d549357531f31c93cbc85a70cd903b7162c7efe6a3,177534.859375,0.09188237365194105,0.2046498277841562,3.9217668492347,0.2202289440323494,0.3448060163449763,0.34100507776621,0.37464731452410205,0.369008117375652,0.3448060163449763,0.4320060938387062,0.5565314950350525,0.2202289440323494,0.3448060163449763,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,14,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b1c7622f617bf65d5a6d2302b6ad806131b4e750779378fb4d97bdf2fab3d297,177178.890625,0.09183183509240384,0.23220436280137768,3.5942653734236956,0.22037704320387763,0.3416659751921477,0.33757895038194335,0.3738874602327594,0.37004142287525477,0.3416659751921477,0.4772494072765463,0.5223297457800891,0.22037704320387763,0.3416659751921477,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,15,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,ab7f0d2db2b581a820bb8d6e752a35d9ae15b13eeeb342365e97cf20854da9dc,177930.296875,0.08812892025423245,0.15154994259471877,3.89422388933599,0.214435188033361,0.3311955139982482,0.3271262258930044,0.36275824632316445,0.36640247377338553,0.3311955139982482,0.4772326388546035,0.5244731312130895,0.214435188033361,0.3311955139982482,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,16,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4123b8eba5f2146e644e0dc16bf414591f8820282434b15b2091402c91b83184,177155.4375,0.09319340614813393,0.22560275545350172,4.598412744700909,0.22556042506798446,0.35343315245140766,0.3494243095862111,0.37812462257701196,0.3833756179454814,0.3534331524514076,0.47161849151780216,0.5281670223132171,0.22556042506798446,0.35343315245140766,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,17,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,c24c6c71d5adc44478a5d4884113fc98569cefebab3b39d70912ded649e75682,177549.21875,0.08435374122647903,0.44833524684270953,4.002723176032305,0.21051575706850548,0.3390865453624087,0.33499815911364456,0.3640091122995576,0.36875277765340975,0.3390865453624088,0.47630931383853126,0.5234565491113597,0.21051575706850548,0.3390865453624087,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,18,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,7364f0231bf58b6630d06e88a4e0dd5cd8f5bf7496da83f8800c555a8849be6c,177471.9375,0.0891627801393995,0.25373134328358204,3.6698597744107246,0.213701179469841,0.3504874189936926,0.34645830437028585,0.36798668385648287,0.3801090010673777,0.35048741899369257,0.48935271277201686,0.5105713842795369,0.213701179469841,0.3504874189936926,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,19,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,fe5b3fb4a695d43c5fbc69e778d3044b32842d2316e8c2e28ff6b9a25583fb70,178171.21875,0.09358018654870115,0.23421354764638347,3.6468732096254826,0.22582719214192135,0.36201153814989484,0.35781360847795757,0.37698987596740957,0.39816253441011307,0.3620115381498948,0.5302096596110996,0.46841613836150986,0.22582719214192135,0.36201153814989484,0.0,0.0,False
