dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,repeat,rms,seed
a1,True,0.06722540408372879,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,1920,decoder2.weight,1,0.0015342030000847714,1
a1,True,0.007659114897251129,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,4096,attention1.w_omega,1,0.00011967367193057776,1
a1,True,0.0067201703786849976,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,64,attention1.u_omega,1,0.0008400213142500332,1
a1,False,0.0,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,4096,attention2.w_omega,1,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,64,attention2.u_omega,1,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,4096,cross_attention.w_omega,1,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,64,cross_attention.u_omega,1,0.0,1
a1,True,0.2688550651073456,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,192000,encoder1.weight,1,0.0006135749519672781,1
a1,True,0.2645453214645386,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,192000,decoder1.weight,1,0.0006037393482195247,1
a1,True,0.20484526455402374,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,1920,encoder2.weight,1,0.0046749319698898345,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,1920,decoder2.weight,1,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,4096,attention1.w_omega,1,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,64,attention1.u_omega,1,0.0,1
a1,True,0.07654893398284912,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,4096,attention2.w_omega,1,0.0011960770530928418,1
a1,True,0.05338587984442711,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,64,attention2.u_omega,1,0.006673234854239975,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,4096,cross_attention.w_omega,1,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873026428135,0.1929386507652604,64,cross_attention.u_omega,1,0.0,1
a1,True,0.007478604558855295,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,192000,encoder1.weight,2,1.7067501506933117e-05,1
a1,True,0.006196640431880951,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,192000,decoder1.weight,2,1.4141832722244421e-05,1
a1,True,0.0022991523146629333,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,1920,encoder2.weight,2,5.247073342314065e-05,1
a1,False,0.0,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,1920,decoder2.weight,2,0.0,1
a1,True,5.197914288146421e-05,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,4096,attention1.w_omega,2,8.121741024400105e-07,1
a1,True,3.420431676204316e-05,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,64,attention1.u_omega,2,4.275539649245781e-06,1
a1,True,0.0002142061130143702,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,4096,attention2.w_omega,2,3.3469704075645744e-06,1
a1,True,0.00015140871983021498,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,64,attention2.u_omega,2,1.8926089774091584e-05,1
a1,True,0.002494094893336296,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,4096,cross_attention.w_omega,2,3.897023277926065e-05,1
a1,True,0.001316555542871356,L_rna_recon_raw,398400,1.6437212432418782e-05,0.0001076404898953075,64,cross_attention.u_omega,2,0.00016456944998164257,1
a1,True,0.7795119285583496,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,192000,encoder1.weight,2,0.0017789843993446003,1
a1,False,0.0,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,192000,decoder1.weight,2,0.0,1
a1,True,0.17854192852973938,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,1920,encoder2.weight,2,0.004074643190508742,1
a1,True,0.18867458403110504,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,1920,decoder2.weight,2,0.0043058885340803415,1
a1,True,0.0029635948594659567,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,4096,attention1.w_omega,2,4.6306168203432336e-05,1
a1,True,0.0019158204086124897,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,64,attention1.u_omega,2,0.00023947754254272755,1
a1,True,0.013617748394608498,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,4096,attention2.w_omega,2,0.0002127773055001345,1
a1,True,0.00936998799443245,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,64,attention2.u_omega,2,0.0011712484765616176,1
a1,True,0.1333514302968979,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,4096,cross_attention.w_omega,2,0.0020836161580516715,1
a1,True,0.07535140961408615,L_mod2_recon_raw,208320,0.0018315960157157193,0.6988602627441566,64,cross_attention.u_omega,2,0.009418926395747448,1
a1,True,0.7156263589859009,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,192000,encoder1.weight,2,0.0016331862479071599,1
a1,False,0.0,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,192000,decoder1.weight,2,0.0,1
a1,True,0.042698998004198074,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,1920,encoder2.weight,2,0.0009744668311373841,1
a1,True,0.06722541153430939,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,1920,decoder2.weight,2,0.0015342029954468633,1
a1,True,0.007659114431589842,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,4096,attention1.w_omega,2,0.00011967366787401978,1
a1,True,0.0067201703786849976,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,64,attention1.u_omega,2,0.0008400213081354733,1
