lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,22712,618e33db0a74bcb9c003c2c413e58910b4fd7d950c3f6e152c541be6fa357888,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,36836,dc8884bab0ece2482bed1af163f469044c5b278872e57fb29235af20e512709d,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,65448,6e0bfbc1346473a5682bbe7674552e26ea75982f71cc7efaec78599490ad9065,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,69534,6261157fe9eb7338840a59031479381e225068574a386512e7650cd2735031d9,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,74347,4f4275cb4252be606359b6646082dff2f9d6ebc5f2ceab1228724065501a750e,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__CSAD_FULL__E0,CSAD_FULL,73092,8084b5fbe18e5ddeb1837bfba508120c33cabacf8edebf0d20043f062677c95c,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,72395,34ad78773c70ce7621ba6683c2ed1611997cc7c6b4100b4347417e1026b4286f,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,71256,296f6f0edca8530d877ad616263ac924bf432b14a4e2107edadf74298f7613f2,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
PLACENTA_K10,S01_LOCAL__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,12854,e492b560f57ee157075fe49fdea5e340725b72b9609ff76438dd7ed66ba00060,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,15242,193a311d3ea9d0895d35fd8a958647bdfd350e9574030dc8dd656db97d049b29,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,9970,5b02c5fe1481937762763397f05919cc56cc753acd5b83b0e6d7ea5bde447a6f,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,14846,bc7a3f58fbbc2dc9aa25af9f2eece47dc4cf73725d18eee2b4eb0a5baecf632d,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,27895,fd303c4bf073879275affb1dd357c1a1bdbcf8d18964ff3514c21dd8d2a62197,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,31463,c6dedd2981d1a772d3d5f6523d6ac464e22265e23e497899d8a5519d534c107c,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,33959,5a2b758153b861e7d417e7efcdd55a3af362536a7e41842ffc1daa4b5c50a2c7,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__CSAD_FULL__E0,CSAD_FULL,33914,ea54563831b20515ea00c422d8f7ac9205d05dd7fc6727a18079cbd271a1f2b3,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
