dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
a1,locked_legacy_loss_replay,fmi,0.3694492183958499,0.010912943833582402,0.37041189434629124,0.35454838628974134,0.3833890605745272,0.3605083819275827,0.3778127864984542,5
a1,locked_legacy_loss_replay,homogeneity,0.4111394061771456,0.01662825764489735,0.403624072230804,0.3949109765402138,0.4307208092038044,0.398362746995882,0.42391606535840937,5
a1,locked_legacy_loss_replay,v_measure,0.3653009343179897,0.011804191386359415,0.3608636191358879,0.35062373165921523,0.3778464123879884,0.35646706414687096,0.37414202911416433,5
a1,locked_legacy_loss_replay,hungarian_macro_f1,0.32938192641520436,0.013448961866471824,0.3319275041387124,0.30900244905707624,0.3437781092916853,0.3178417833519553,0.33899842965966626,5
a1,locked_legacy_loss_replay,hungarian_weighted_f1,0.49030285929201123,0.019404071422011657,0.4851204262753988,0.4651759442152421,0.5113873435473987,0.4749613497530222,0.5049172742648957,5
a1,locked_legacy_loss_replay,hungarian_balanced_accuracy,0.3920812409284705,0.015545108266631476,0.388061771301617,0.3711830098528202,0.4102381332647189,0.38067931260806354,0.4043275380034707,5
a1,locked_legacy_loss_replay,spatial_neighbor_agreement,0.5920972062763108,0.02792963743181304,0.5870008929710422,0.5570544712335758,0.6315059318790662,0.5712176297997194,0.615585533869116,5
a1,locked_legacy_loss_replay,spatial_cluster_moran_mean,0.5336138389045451,0.030762348524194526,0.5481962912029706,0.49054698752843445,0.5642017769694326,0.5073530202814382,0.5562444289422132,5
a1,locked_legacy_loss_replay,embedding_silhouette,0.10459176152944565,0.017202695138462662,0.10894876718521118,0.07667078822851181,0.12180556356906891,0.08958197981119156,0.11619007587432861,5
a1,locked_legacy_loss_replay,embedding_davies_bouldin,2.0316114761952706,0.17612623005075836,2.010386962320532,1.8044783205274508,2.2671533008259876,1.8970133165871583,2.1754997399560687,5
a1,locked_asr_hvg_legacy_scale_diagnostic,ari,0.22252549233713603,0.015720655648851795,0.22733603386457646,0.19870792095079176,0.23831792658064857,0.2088778686284077,0.2338365375497767,5
