dataset,variant,seed,domain,support,hungarian_f1
a1,locked_uniform_legacy_scale,4,subcapsular sinus,74,0.07220216606498193
a1,locked_uniform_legacy_scale,4,trabeculae,8,0.0
a1,locked_unweighted,0,capsule,204,0.3526170798898072
a1,locked_unweighted,0,cortex,753,0.7062499999999999
a1,locked_unweighted,0,follicle,60,0.4128113879003558
a1,locked_unweighted,0,hilum,23,0.13973799126637554
a1,locked_unweighted,0,medulla cords,1188,0.45647321428571436
a1,locked_unweighted,0,medulla sinuses,797,0.4556776556776556
a1,locked_unweighted,0,medulla vessels,57,0.022535211267605635
a1,locked_unweighted,0,pericapsular adipose tissue,320,0.5474613686534217
a1,locked_unweighted,0,subcapsular sinus,74,0.06907894736842105
a1,locked_unweighted,0,trabeculae,8,0.0
a1,locked_unweighted,1,capsule,204,0.3663663663663664
a1,locked_unweighted,1,cortex,753,0.6147260273972603
a1,locked_unweighted,1,follicle,60,0.4233576642335766
a1,locked_unweighted,1,hilum,23,0.30357142857142855
a1,locked_unweighted,1,medulla cords,1188,0.4652326163081541
a1,locked_unweighted,1,medulla sinuses,797,0.5895281189398837
a1,locked_unweighted,1,medulla vessels,57,0.02729044834307992
a1,locked_unweighted,1,pericapsular adipose tissue,320,0.5970772442588728
a1,locked_unweighted,1,subcapsular sinus,74,0.04
a1,locked_unweighted,1,trabeculae,8,0.0
a1,locked_unweighted,2,capsule,204,0.3713527851458886
a1,locked_unweighted,2,cortex,753,0.7155963302752293
a1,locked_unweighted,2,follicle,60,0.40559440559440557
a1,locked_unweighted,2,hilum,23,0.008368200836820083
a1,locked_unweighted,2,medulla cords,1188,0.5161290322580646
a1,locked_unweighted,2,medulla sinuses,797,0.42066957787481807
a1,locked_unweighted,2,medulla vessels,57,0.06349206349206349
a1,locked_unweighted,2,pericapsular adipose tissue,320,0.7736185383244206
a1,locked_unweighted,2,subcapsular sinus,74,0.24761904761904766
a1,locked_unweighted,2,trabeculae,8,0.0
a1,locked_unweighted,3,capsule,204,0.35672514619883045
