dataset,checkpoint,family,metric,within_count,cross_count,within_q95,within_median,cross_q95,cross_median,eta,E95,Emed,margin,q95_ratio,median_ratio,finite,pass
placenta,5,losses,relative_l2,16,32,9.676550650307749e-08,0.0,9.676550650307749e-08,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.025366496936742745,0.0,True,True
placenta,5,losses,scaled_max,16,32,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.015625,0.0,True,True
placenta,5,outputs,relative_l2,16,32,2.357655216899862e-07,2.135310974641461e-07,2.3741221070930293e-07,2.1286481169702277e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.06223618656417951,0.05580123319750434,True,True
placenta,5,outputs,scaled_max,16,32,2.184976666721698e-06,7.692714757748212e-07,2.1779136120051997e-06,7.585232462623169e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.5709269859054911,0.1988423178681888,True,True
placenta,5,parameters,relative_l2,16,32,1.1703754414251877e-07,7.892037434637644e-08,1.3198391560971717e-07,7.767242995019479e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0345987915735937,0.020361361476863862,True,True
placenta,5,parameters,scaled_max,16,32,1.8104910850524902e-06,1.1175870895385742e-06,1.8104910850524902e-06,9.275972843170166e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.474609375,0.2431640625,True,True
placenta,20,adam,relative_l2,16,32,2.1480912357430972e-07,1.8714575993168637e-07,2.3283221634577266e-07,1.8729052836442506e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.06103556852174623,0.04909708826756384,True,True
placenta,20,adam,scaled_max,16,32,2.3195752874016762e-08,1.30385160446167e-08,2.3219035938382147e-08,1.1175870895385742e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.00608673095703125,0.0029296875,True,True
placenta,20,gradients,relative_l2,16,32,5.912360069157515e-07,5.347529950903081e-07,5.885939524403477e-07,5.270025777792442e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.1542963730685225,0.1381505637493622,True,True
placenta,20,gradients,scaled_max,16,32,2.2962922230362892e-08,1.30385160446167e-08,2.3155007511377335e-08,9.546056389808655e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0060699462890625,0.00250244140625,True,True
placenta,20,losses,relative_l2,16,32,1.1282298682611112e-07,0.0,1.1282298682611112e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.029575869058544074,0.0,True,True
placenta,20,losses,scaled_max,16,32,1.1282298682611112e-07,0.0,1.1282298682611112e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.029575869058544074,0.0,True,True
placenta,20,outputs,relative_l2,16,32,2.4896809047087805e-07,2.2668961155041174e-07,2.470448550896312e-07,2.2641329620520087e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.06476132649261628,0.05935288712041618,True,True
placenta,20,outputs,scaled_max,16,32,1.6466575708960858e-06,5.82419093022255e-07,1.612065188610458e-06,5.965383094734347e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.4225932168030999,0.15637893859860408,True,True
placenta,20,parameters,relative_l2,16,32,1.1823286221828791e-07,8.116986732848975e-08,1.3309682163304442e-07,7.966612604066445e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0348905332101728,0.020883996944803942,True,True
placenta,20,parameters,scaled_max,16,32,1.7844140529632568e-06,1.1175870895385742e-06,1.7844140529632568e-06,9.275972843170166e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.4677734375,0.2431640625,True,True
