dataset,variant,variant_code,seed,run_status,ari,nmi,ami,fmi,homogeneity,v_measure,hungarian_macro_f1,hungarian_weighted_f1,hungarian_balanced_accuracy,spatial_neighbor_agreement,spatial_cluster_moran_mean,embedding_silhouette,embedding_davies_bouldin,total_seconds,gpu_peak_allocated_mib
p22,locked_legacy_shape_normalized,V2,3,complete,0.4077763358142566,0.5718934998142937,0.5711306364098492,0.5057038639867055,0.5637253267800753,0.5718934998142937,0.5627212400458651,0.5924027869939512,0.5968680714356216,0.8443684754240974,0.7918751011832393,0.1508401781320572,2.4682667166918217,71.52475527767092,701.66650390625
p22,locked_legacy_shape_normalized,V2,4,complete,0.39476014208424737,0.5576379091723926,0.5568535807192047,0.49259518040672373,0.5523581247576769,0.5576379091723926,0.5479838874460362,0.56710781324751,0.5971223385176666,0.851606676816007,0.8034715244474941,0.15406107902526855,2.314721740315577,70.10644822614267,701.6630859375
p22,locked_uniform_legacy_scale,V1,0,complete,0.45649115271157065,0.5806989813048601,0.5799518033212053,0.5455927622052604,0.5725296049096628,0.5806989813048602,0.5486496804680532,0.6054717019167,0.5834087689507923,0.8205197912135711,0.7545355896615428,0.14889121055603027,2.545859807043735,71.00606267806143,701.763671875
p22,locked_uniform_legacy_scale,V1,1,complete,0.39539323090332507,0.5358747121899359,0.5350675503298259,0.4876564266923249,0.5403953486018472,0.5358747121899359,0.5294729610776812,0.5754116495563547,0.5749775853605341,0.8215528490648107,0.7844840537209603,0.13850092887878418,2.598368680461871,70.60902884975076,701.67578125
p22,locked_uniform_legacy_scale,V1,2,complete,0.4424075817001967,0.574316009708467,0.5735692773625493,0.5300584575636047,0.5743602188599297,0.5743160097084669,0.5296054943549927,0.5975017175784946,0.5663481975631637,0.8307008481948673,0.7907277660787417,0.12991803884506226,2.4363755503577336,70.11041360208765,701.66796875
p22,locked_uniform_legacy_scale,V1,3,complete,0.4079024790565694,0.5729596030237759,0.5721996013033175,0.5053859623250136,0.5654501489177376,0.572959603023776,0.564449887064497,0.5946568523404822,0.5981230782332884,0.8437296107003045,0.7922670661082769,0.14934974908828735,2.50113255203672,71.09121911600232,701.67431640625
p22,locked_uniform_legacy_scale,V1,4,complete,0.4116812654654588,0.5456468231594398,0.5448551213308728,0.5023095580417862,0.5492088684507586,0.5456468231594398,0.5121538975421007,0.5685200843809786,0.5566747210812462,0.8309998912570683,0.7932888739862125,0.14742863178253174,2.5185767976002476,70.98617718322203,701.6708984375
p22,locked_unweighted,V0,0,complete,0.42045658191812424,0.5441625774140656,0.5433580720060348,0.5138718823207569,0.5410231201819868,0.5441625774140656,0.5206078991572064,0.5915646709257268,0.5530799989614351,0.8034743366681165,0.7472004371576515,0.14899036288261414,2.5791738673673845,71.76994993770495,701.67822265625
p22,locked_unweighted,V0,1,complete,0.38363050879426935,0.5511872721554538,0.5503906789666014,0.48337440656362773,0.5454158691730514,0.5511872721554538,0.5544967654808756,0.5761569849181042,0.5992683066529569,0.8389177359721618,0.7895116986117109,0.14153850078582764,2.370458510119002,70.65631302911788,701.67578125
p22,locked_unweighted,V0,2,complete,0.43595210281183,0.5694827216373555,0.568725410472018,0.5255914390749921,0.5679830056872602,0.5694827216373555,0.5268971268608725,0.5944022044600955,0.5613714913163337,0.8288182361896477,0.7868877437626867,0.13136745989322662,2.3989715260710196,69.09315941296518,701.66796875
p22,locked_unweighted,V0,3,complete,0.4570737954960654,0.5816649717197064,0.5809269182302523,0.5441083820980118,0.5787786111761336,0.5816649717197064,0.5883506520048615,0.6099086168250588,0.6282732064313445,0.8364302414093084,0.7844167515555541,0.15233655273914337,2.466595171160713,71.59633780876175,701.67431640625
p22,locked_unweighted,V0,4,complete,0.4115250071301984,0.5453322463368929,0.5445395594431489,0.5023437937895753,0.5485955647168608,0.545332246336893,0.5127672808247852,0.5689068758587742,0.5564686884837564,0.830714441061331,0.7925362268377946,0.15043407678604126,2.4816671295471853,72.29469033936039,701.6708984375
placenta,locked_asr_hvg_legacy_scale_diagnostic,V4,0,complete,0.6651254394684301,0.7190154329885233,0.7153207737367017,0.7248744155386575,0.763431226388443,0.7190154329885232,0.6315473360325558,0.8094890880176671,0.6739511199358862,0.43200962695547535,0.37643462854766924,0.1420045793056488,2.425643187249022,10.094247455243021,191.89697265625
placenta,locked_asr_hvg_legacy_scale_diagnostic,V4,1,complete,0.7042581185857719,0.7407556446198721,0.7372924108423152,0.7569024093951767,0.7747967842521228,0.740755644619872,0.6152464012966823,0.820299824107209,0.6524938532791303,0.4326113116726835,0.3849057991136092,0.14155320823192596,2.154701720732658,9.87053639208898,191.8984375
placenta,locked_asr_hvg_legacy_scale_diagnostic,V4,2,complete,0.650892386889236,0.7302019905422235,0.7266759268785489,0.7134126735806855,0.7792453677317541,0.7302019905422235,0.627298690748644,0.791824061889444,0.6762283662193698,0.42478941034897716,0.3599851636623693,0.14811454713344574,2.368883140019881,9.923272254876792,191.89697265625
placenta,locked_asr_hvg_legacy_scale_diagnostic,V4,3,complete,0.6771164666292725,0.7166412517285962,0.7128517389629273,0.73393203805753,0.7492866886600656,0.7166412517285964,0.5860467957899986,0.7863552642555379,0.6203254735611933,0.4380264741275572,0.3935627889270427,0.13690628111362457,2.3631669830971966,9.851795450784266,191.8955078125
placenta,locked_asr_hvg_legacy_scale_diagnostic,V4,4,complete,0.6209568891302016,0.6977124289906559,0.6937177715624996,0.6871536817732354,0.7366234146421502,0.6977124289906559,0.5910711072394815,0.7624767906467702,0.6213489613265346,0.4398315282791817,0.4137720213009185,0.14906658232212067,2.201478189351559,11.161281975917518,191.89697265625
