dataset,metric,contrast,seed,paired_delta
a1,hungarian_weighted_f1,scale_at_legacy_shape,1,-0.027189431388558838
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,1,-0.032569877250681556
a1,hungarian_weighted_f1,factorial_scale_main,1,-0.021343729870560213
a1,hungarian_weighted_f1,factorial_shape_main,1,-0.02672417573268293
a1,hungarian_weighted_f1,interaction,1,-0.01169140303599725
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,1,-0.0130074293050631
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,1,0.019562447945618455
a1,hungarian_weighted_f1,uniform_scale_effect,2,0.008983703056804515
a1,hungarian_weighted_f1,legacy_shape_effect,2,-1.143856758478723e-05
a1,hungarian_weighted_f1,scale_at_legacy_shape,2,-0.021627587321699226
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,2,-0.03062272894608853
a1,hungarian_weighted_f1,factorial_scale_main,2,-0.006321942132447356
a1,hungarian_weighted_f1,factorial_shape_main,2,-0.015317083756836658
a1,hungarian_weighted_f1,interaction,2,-0.03061129037850374
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,2,-0.046870018075502784
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,2,-0.016247289129414255
a1,hungarian_weighted_f1,uniform_scale_effect,3,-0.043173929840893965
a1,hungarian_weighted_f1,legacy_shape_effect,3,0.0003159142363302614
a1,hungarian_weighted_f1,scale_at_legacy_shape,3,-0.04488880086221486
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,3,-0.0013989567849906348
a1,hungarian_weighted_f1,factorial_scale_main,3,-0.04403136535155441
a1,hungarian_weighted_f1,factorial_shape_main,3,-0.0005415212743301867
a1,hungarian_weighted_f1,interaction,3,-0.0017148710213208962
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,3,0.021009961468171245
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,3,0.02240891825316188
a1,hungarian_weighted_f1,uniform_scale_effect,4,0.0060198811536732455
a1,hungarian_weighted_f1,legacy_shape_effect,4,0.006183189289924951
a1,hungarian_weighted_f1,scale_at_legacy_shape,4,0.03735341051066404
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,4,0.03751671864691575
a1,hungarian_weighted_f1,factorial_scale_main,4,0.021686645832168644
a1,hungarian_weighted_f1,factorial_shape_main,4,0.02184995396842035
a1,hungarian_weighted_f1,interaction,4,0.0313335293569908
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,4,0.000795973694826424
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,4,-0.036720744952089324
a1,hungarian_balanced_accuracy,uniform_scale_effect,0,0.01376925156493225
a1,hungarian_balanced_accuracy,legacy_shape_effect,0,0.00274553370674685
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,0,0.002266744402336429
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,0,-0.008756973455848971
a1,hungarian_balanced_accuracy,factorial_scale_main,0,0.00801799798363434
a1,hungarian_balanced_accuracy,factorial_shape_main,0,-0.0030057198745510605
a1,hungarian_balanced_accuracy,interaction,0,-0.01150250716259582
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,0,0.010174469224156935
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,0,0.018931442680005905
a1,hungarian_balanced_accuracy,uniform_scale_effect,1,-0.004238696509743345
a1,hungarian_balanced_accuracy,legacy_shape_effect,1,-0.062408231706301
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,1,0.04065405674595418
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,1,-0.017515478450603472
a1,hungarian_balanced_accuracy,factorial_scale_main,1,0.018207680118105418
